feature,auc,auc_abs,cohens_d,mean_y0,mean_y1,rank
n_click,1.0,1.0,1.2012330186462112,-0.6843367297200179,0.3590583222640002,1
click_rate,1.0,1.0,1.1991752688934916,-0.6834519325246687,0.3585940861902825,2
n_unique_click_items,1.0,1.0,1.202396254086057,-0.6848364070278351,0.3593204933385991,3
pos_last_click,1.0,1.0,2.7737801886664717,-1.0997985386198181,0.5770431440480958,4
n_exp_to_click,0.9929483514389175,0.9929483514389175,1.3850399762510612,-0.7589306675761633,0.39819632701299357,5
engage_rate,0.9342949746386134,0.9342949746386134,1.0918901806600911,-0.6357653501181878,0.33357385341630846,6
decay_engage,0.9227009902602225,0.9227009902602225,0.6566990650641993,-0.4112134293957846,0.21575577875483037,7
n_exposure,0.17264770189195688,0.8273522981080431,-0.018405983619844888,0.012073072110190597,-0.006334508770603275,8
n_unique_conv_items,0.7372886559777019,0.7372886559777019,0.6365159475601897,-0.3996495734897121,0.20968844593428204,9
n_conversion,0.7372301581911682,0.7372301581911682,0.6364006555040287,-0.3995832497929713,0.20965364716600912,10
pos_last_conv,0.7361130927668976,0.7361130927668976,0.8907213265915338,-0.5380706697015233,0.2823153332739268,11
conversion_rate,0.7344624513784744,0.7344624513784744,0.5782464518241224,-0.36575121387003334,0.19190262850851944,12
recency_to_end_days,0.7336467707041148,0.7336467707041148,0.9059415690368775,-0.5458379097220148,0.2863906547483717,13
engage_last20,0.6739786476848618,0.6739786476848618,0.6352973722601417,-0.39894841485684834,0.20932056148292424,14
click_rate_last20,0.657518582046884,0.657518582046884,0.6207315780971647,-0.3905413891610544,0.20490955676774977,15
n_clicks_last20,0.657518582046884,0.657518582046884,0.6210905820134263,-0.3907491711842278,0.20501857599965295,16
n_item_format,0.38626798036772747,0.6137320196322725,-0.40447069358152116,0.2605475453687391,-0.13670428671624507,17
span_days,0.5756399225170856,0.5756399225170856,0.1687806800468692,-0.11035856875595838,0.05790301882697757,18
n_unique_items,0.5682012885989338,0.5682012885989338,0.41631017346290256,-0.2678909339449693,0.14055722148856506,19
n_conv_last20,0.5676981037925188,0.5676981037925188,0.352112979015241,-0.22780479613666377,0.11952479583842865,20
mean_item_log_freq,0.45560101075867754,0.5443989892413225,-0.1724002183606712,0.1127096222961656,-0.05913657140867924,21
n_events,0.5398484498882693,0.5398484498882693,0.40613127924537923,-0.26157891643110665,0.13724542727936603,22
mean_gap_hours,0.5393872173405991,0.5393872173405991,-0.09212198483447166,0.060370256818919256,-0.03167511283066212,23
repeat_rate,0.47243262387633195,0.5275673761236681,-0.17482531086899503,0.11428427853450758,-0.05996276325624152,24
median_gap_hours,0.5183386407094335,0.5183386407094335,-0.09098849826136408,0.0596288439606868,-0.03128610776134369,25
