variant,notes,n_selected,jaccard_vs_baseline,W1_hgb_auc,W1_hgb_ap,W1_logreg_auc,W2_hgb_auc,W2_hgb_ap,W2_logreg_auc,sec,top5
A_baseline_F|W1hold,Scaler→Var→SelectKBest(F) | metrics=official_run_fsds,15,1.0,0.6620859760394644,0.0010131712259371835,0.9154334038054969,0.7679169107187682,0.011375750248680611,0.4668507516804731,0.4446091651916504,"e_n_exp,u_n_events,u_n_exp,u_n_uniq_items,u_span_sec"
F_cmean_stable|W1hold,cmean pre→21 + π-stable F→15 | fused→official_FSDS,15,1.0,0.6620859760394644,0.0010131712259371835,0.9154334038054969,0.7735126767634507,0.011500471326159218,0.4668507516804731,0.40483760833740234,"u_n_uniq_items,ui_pop_mismatch,e_log1p_exp,e_n_exp,i_log1p_n_exp"
Z_combined|W1hold,COMBINED(=cmean+π→FSDS): cmean pre→21 + π-stable F→15 | fused→official_FSDS,15,1.0,0.6620859760394644,0.0010131712259371835,0.9154334038054969,0.7735126767634507,0.011500471326159218,0.4668507516804731,0.39295315742492676,"u_n_uniq_items,ui_pop_mismatch,e_log1p_exp,e_n_exp,i_log1p_n_exp"
