feature,score,rank,selected
i_log1p_n_exp,0.874024770471903,1,1
u_n_uniq_items,0.6145880617896438,2,1
i_n_exp,0.32478155454198016,3,1
u_span_sec,0.3082400374837106,4,1
u_n_exp,0.2955062582824008,5,1
i_log1p_n_covisit,0.2585843896144009,6,1
u_n_events,0.24386567367805684,7,1
i_log1p_n_users,0.17034407142819552,8,1
u_log1p_n_uniq,0.1592385550926889,9,1
ui_pop_mismatch,0.0992312420461597,10,1
i_credit_linear,0.04929472407984588,11,1
i_n_covisit_neighbors,0.04132922425563856,12,1
i_credit_last,0.028018082824999437,13,0
u_log1p_n_events,0.013654900023032043,14,0
i_n_users,0.008921899804463744,15,0
