feature,score,rank,selected
i_share_first,2.228898368296624,1,1
i_credit_first,2.2288983682966235,2,1
u_n_exp,0.564802932143133,3,1
u_n_uniq_items,0.5513934257549195,4,1
i_log1p_n_exp,0.5211957390259155,5,1
i_n_exp,0.5105646258311733,6,1
u_n_events,0.24302617374800056,7,1
i_log1p_n_covisit,0.07159717205914133,8,1
i_log1p_n_users,0.05604145031266387,9,1
i_n_covisit_neighbors,0.055050975681435826,10,1
i_n_users,0.0400219978640506,11,1
u_log1p_n_uniq,0.024636673466873187,12,1
u_log1p_n_events,0.004596651498814925,13,1
i_credit_last,0.002471653923183568,14,1
i_share_linear,0.0021106650137181814,15,1
i_credit_linear,0.0021106650137181758,16,0
u_span_sec,0.0015678927548529113,17,0
ui_pop_mismatch,3.0024559004357e-05,18,0
