seed,k,variant,W2_hgb_auc,W2_ap,W1_hgb_auc,n_selected,notes,top5
1,15,Z_combined_PO_rare,0.5712527543022898,0.0013954818136149363,0.7310114857354576,15,COMBINED-PO-rare: cmean⋈PO→18 | 3-fold π (n_pos=3)→15 | PO-risk=1.25052e-06 | →FSDS,"u_span_sec,i_n_users,i_n_covisit_neighbors,u_n_exp,u_n_uniq_items"
1,15,P_po_tau2_rows,0.536172007921234,0.0012148751785412016,0.7665802148944053,15,"PO-τ̂²-rows: tau2-q0.5 keep=4229/8449 (thr=1.06e-07, n_pos=3) | PO-VIMP pre→18 →FSDS-F→15 | risk=1.25052e-06","ui_pop_mismatch,i_n_users,i_log1p_n_users,i_n_covisit_neighbors,i_log1p_n_covisit"
1,18,A_baseline_F,0.5285227177642038,0.0011714726401877238,0.7665802148944053,18,Scaler→Var→SelectKBest(F),"e_n_exp,u_n_events,u_n_exp,u_n_uniq_items,u_span_sec"
1,18,P_po_vimp_FSDS,0.536172007921234,0.0012148751785412016,0.7665802148944053,18,PO-VIMP pre→21 (risk=1.25052e-06) then FSDS-F→18,"ui_pop_mismatch,i_n_users,i_log1p_n_users,i_log1p_n_exp,i_n_covisit_neighbors"
1,18,Z_combined_PO_rare,0.5285680417259364,0.0011675021564596102,0.7665802148944053,18,COMBINED-PO-rare: cmean⋈PO→21 | 3-fold π (n_pos=3)→18 | PO-risk=1.25052e-06 | →FSDS,"u_span_sec,i_n_users,i_n_covisit_neighbors,u_n_exp,u_n_uniq_items"
2,10,A_baseline_F,0.6957611636404206,0.0031553247627328068,0.5878926932580304,10,Scaler→Var→SelectKBest(F),"e_n_exp,u_n_exp,u_n_uniq_items,u_log1p_n_events,i_n_exp"
2,10,P_po_vimp_FSDS,0.44280464675201514,0.0009691625502579852,0.8310977762089657,10,PO-VIMP pre→13 (risk=1.15413e-06) then FSDS-F→10,"ui_pop_mismatch,i_n_users,i_log1p_n_exp,u_n_exp,i_n_exp"
2,10,Z_combined_PO_rare,0.45587189356539204,0.001020889145508352,0.7619131662548535,10,COMBINED-PO-rare: cmean⋈PO→13 | 3-fold π (n_pos=3)→10 | PO-risk=1.15413e-06 | →FSDS,"i_log1p_n_exp,i_n_exp,u_span_sec,i_log1p_n_covisit,i_n_covisit_neighbors"
2,12,A_baseline_F,0.8067874375923911,0.009951499376002114,0.7236145428873985,12,Scaler→Var→SelectKBest(F),"e_n_exp,u_n_exp,u_n_uniq_items,u_log1p_n_events,i_n_exp"
2,12,P_po_vimp_FSDS,0.38451803196385237,0.0009360059459762485,0.6466643134486411,12,PO-VIMP pre→15 (risk=1.15413e-06) then FSDS-F→12,"ui_pop_mismatch,i_n_users,i_log1p_n_exp,u_n_exp,i_n_exp"
2,12,Z_combined_PO_rare,0.69471871252057,0.003131494245491557,0.7792093187433815,12,COMBINED-PO-rare: cmean⋈PO→15 | 3-fold π (n_pos=3)→12 | PO-risk=1.15413e-06 | →FSDS,"i_log1p_n_exp,i_n_exp,u_span_sec,i_log1p_n_covisit,i_n_covisit_neighbors"
2,15,A_baseline_F,0.8362898502217387,0.017055797184651396,0.5458877515001765,15,Scaler→Var→SelectKBest(F),"e_n_exp,u_n_exp,u_n_uniq_items,u_log1p_n_events,u_log1p_n_uniq"
2,15,P_po_vimp_FSDS,0.8709835996987698,0.01359683589075088,0.69219908224497,15,PO-VIMP pre→18 (risk=1.15413e-06) then FSDS-F→15,"ui_pop_mismatch,i_n_users,i_log1p_n_exp,u_n_exp,i_n_exp"
2,15,Z_combined_PO_rare,0.8428897163417287,0.00901259805414031,0.622132015531239,15,COMBINED-PO-rare: cmean⋈PO→18 | 3-fold π (n_pos=3)→15 | PO-risk=1.15413e-06 | →FSDS,"i_share_first,i_credit_first,i_log1p_n_exp,i_n_exp,u_span_sec"
2,15,P_po_tau2_rows,0.8465330655733132,0.011403091326403353,0.7252029650547123,15,"PO-τ̂²-rows: tau2-q0.5 keep=4178/8315 (thr=3.05e-08, n_pos=3) | PO-VIMP pre→18 →FSDS-F→15 | risk=1.15413e-06","i_log1p_n_users,i_n_users,i_log1p_n_exp,u_n_exp,i_n_exp"
2,18,A_baseline_F,0.8671589546202549,0.013132503156177405,0.6927285563007413,18,Scaler→Var→SelectKBest(F),"e_n_exp,u_n_exp,u_n_uniq_items,u_span_sec,u_log1p_n_events"
2,18,P_po_vimp_FSDS,0.8709835996987698,0.01359683589075088,0.69219908224497,18,PO-VIMP pre→21 (risk=1.15413e-06) then FSDS-F→18,"ui_pop_mismatch,i_n_users,i_log1p_n_exp,u_n_exp,i_n_exp"
2,18,Z_combined_PO_rare,0.8428897163417287,0.00901259805414031,0.622132015531239,18,COMBINED-PO-rare: cmean⋈PO→21 | 3-fold π (n_pos=3)→18 | PO-risk=1.15413e-06 | →FSDS,"e_log1p_exp,e_n_exp,i_share_first,i_credit_first,i_log1p_n_exp"
