feature,pi,score,rank,selected
i_log1p_n_exp,1.0,0.554324602852512,1,1
i_n_exp,1.0,0.46858043944598826,2,1
u_span_sec,1.0,0.44703780433132617,3,1
i_log1p_n_covisit,1.0,0.40035156261756377,4,1
i_n_covisit_neighbors,1.0,0.3793423275453087,5,1
i_n_users,1.0,0.3306040228160879,6,1
u_log1p_n_events,1.0,0.1390011027194424,7,1
ui_pop_mismatch,1.0,0.13485439887717554,8,1
i_log1p_n_users,0.6666666666666666,0.41586367179560835,9,1
u_n_exp,0.6666666666666666,0.07475915093085587,10,1
u_n_uniq_items,0.3333333333333333,0.058704892229814176,11,0
u_log1p_n_uniq,0.3333333333333333,0.04038564448999047,12,0
u_n_events,0.0,0.001691331788063941,13,0
