feature,pi,score,rank,selected
i_log1p_n_exp,1.0,0.7256519889053773,1,1
u_n_uniq_items,1.0,0.49142864978370904,2,1
i_log1p_n_users,1.0,0.3146479916534028,3,1
i_n_covisit_neighbors,1.0,0.26724040425820134,4,1
i_n_users,1.0,0.21943979310100137,5,1
ui_pop_mismatch,1.0,0.20034603558264955,6,1
u_log1p_n_events,1.0,0.11392782304344247,7,1
i_credit_linear,1.0,0.0952249960724534,8,1
i_share_linear,1.0,0.0952249960724534,9,1
u_span_sec,0.6666666666666666,0.8123051393411683,10,1
i_credit_first,0.6666666666666666,0.7360030946941195,11,1
i_n_exp,0.6666666666666666,0.4395078381285617,12,1
i_log1p_n_covisit,0.6666666666666666,0.3571158037210416,13,1
u_n_exp,0.6666666666666666,0.2895365381912873,14,1
u_n_events,0.6666666666666666,0.25439034919921993,15,1
u_log1p_n_uniq,0.6666666666666666,0.2055719975482364,16,0
i_credit_last,0.6666666666666666,0.1452005956138479,17,0
i_share_last,0.6666666666666666,0.14520059561384777,18,0
