feature,score,rank,selected
u_span_sec,2.396565922532697,1,1
u_n_uniq_items,1.6913841519205306,2,1
u_n_exp,1.685151105455456,3,1
u_n_events,1.060942483235892,4,1
u_log1p_n_uniq,0.9146917528867484,5,1
ui_pop_mismatch,0.6204104082228165,6,1
i_share_last,0.532473675808058,7,1
i_n_users,0.4985536184616718,8,1
u_log1p_n_events,0.43400167869779066,9,1
i_n_covisit_neighbors,0.40516621480149534,10,1
i_credit_linear,0.3059941342874394,11,1
i_share_linear,0.3059941342874394,12,1
i_log1p_n_users,0.18125652449844365,13,1
i_log1p_n_covisit,0.07653306797435167,14,1
i_n_exp,0.050379304447564305,15,1
i_log1p_n_exp,0.03271226536376496,16,0
i_share_first,0.014081297931533433,17,0
i_credit_first,0.014081297931533326,18,0
