feature,pi,score,rank,selected
u_n_uniq_items,1.0,0.49142864978370904,1,1
i_log1p_n_users,1.0,0.3146479916534028,2,1
i_n_covisit_neighbors,1.0,0.26724040425820134,3,1
i_n_users,1.0,0.21943979310100137,4,1
ui_pop_mismatch,1.0,0.20034603558264955,5,1
u_log1p_n_events,1.0,0.11392782304344247,6,1
u_span_sec,0.6666666666666666,0.8123051393411683,7,1
i_log1p_n_exp,0.6666666666666666,0.7256519889053773,8,1
i_n_exp,0.6666666666666666,0.4395078381285617,9,1
i_log1p_n_covisit,0.6666666666666666,0.3571158037210416,10,1
u_n_exp,0.6666666666666666,0.2895365381912873,11,1
u_n_events,0.6666666666666666,0.25439034919921993,12,1
u_log1p_n_uniq,0.6666666666666666,0.2055719975482364,13,0
i_credit_last,0.6666666666666666,0.1452005956138479,14,0
i_credit_linear,0.6666666666666666,0.0952249960724534,15,0
