variant,k,mean_W2,std_W2,mean_AP
A_baseline_F,10,0.5592465530546026,0.1701061746924145,0.001821965186553154
A_baseline_F,12,0.647781682611404,0.22239353791549465,0.005165173780251741
A_baseline_F,15,0.7155921401277437,0.1536922211137169,0.00987705041974968
A_baseline_F,18,0.7136978309578929,0.17153121604245025,0.006701876668429305
P_po_tau2_rows,15,0.7139906934798576,0.16005766132077662,0.006230654223196792
P_po_vimp_FSDS,10,0.4719107652544185,0.03135230886729512,0.0010582721420647043
P_po_vimp_FSDS,12,0.5527803345140807,0.18659196473900266,0.0016493015100453713
P_po_vimp_FSDS,15,0.7221455201331363,0.17046694918816666,0.006961923821458033
P_po_vimp_FSDS,18,0.7241978820926188,0.17117319703240805,0.006989842155813718
Z_combined_PO_rare,10,0.4237790422000948,0.10449305478338501,0.0010826452941216356
Z_combined_PO_rare,12,0.5623227716880969,0.11810028096087313,0.0018119454548845499
Z_combined_PO_rare,15,0.7170831822534609,0.13692106131117482,0.00535008085152226
Z_combined_PO_rare,18,0.7131283760540725,0.16416980871708853,0.007185296946281637
