variant,notes,n_selected,jaccard_vs_baseline,W1_hgb_auc,W1_hgb_ap,W1_logreg_auc,W2_hgb_auc,W2_hgb_ap,W2_logreg_auc,sec,top5
A_baseline_F|W1hold,Scaler→Var→SelectKBest(F) | metrics=official_run_fsds,15,1.0,0.6620859760394644,0.0010131712259371835,0.9154334038054969,0.7679169107187682,0.011375750248680611,0.4668507516804731,0.43004727363586426,"e_n_exp,u_n_events,u_n_exp,u_n_uniq_items,u_span_sec"
C_cmean_then_F|W1hold,cmean|δ| prefilter→21 then F→15 | fused→official_FSDS_on_pool,15,1.0,0.6620859760394644,0.0010131712259371835,0.9154334038054969,0.7664386522745655,0.010724854741584971,0.4668507516804731,0.39833760261535645,"u_span_sec,ui_pop_mismatch,i_n_exp,u_n_events,u_n_uniq_items"
H_soft_corr|W1hold,F wide=21 → soft-corr@0.98 →13 | fused→official_FSDS_on_pool,15,1.0,0.6620859760394644,0.0010131712259371835,0.9154334038054969,0.7735126767634507,0.011500471326159218,0.4668507516804731,0.41839051246643066,"e_n_exp,u_n_exp,u_n_uniq_items,u_span_sec,u_log1p_n_uniq"
I_stable_pi_F3|W1hold,3-fold π-stable SelectKBest(F) (n_pos=3) | fused→official_FSDS_on_pool,15,0.6666666666666666,0.441508104298802,0.000630119722747322,0.9073291050035236,0.4870791844476055,0.0021115583827666694,0.4608749616489555,0.33701229095458984,"u_n_uniq_items,i_n_covisit_neighbors,i_n_users,ui_pop_mismatch,u_log1p_n_events"
J_delta_share_FSDS|W1hold,J* cumshare≥0.8 →15 cols then FSDS-F→15 | fused→official_FSDS_on_pool,15,0.5789473684210527,0.6014799154334038,0.0008818342151675485,0.9119097956307258,0.3959954536579924,0.0010537674266106374,0.45269572978551303,0.384157657623291,"u_span_sec,ui_pop_mismatch,i_n_covisit_neighbors,i_n_users,i_n_exp"
F_cmean_stable|W1hold,cmean pre→21 + π-stable F→15 | fused→official_FSDS_on_pool,15,1.0,0.6620859760394644,0.0010131712259371835,0.9154334038054969,0.7735126767634507,0.011500471326159218,0.4668507516804731,0.44299793243408203,"u_n_uniq_items,ui_pop_mismatch,e_log1p_exp,e_n_exp,i_log1p_n_exp"
G_F_then_HGB_perm|W1hold,F screen=21 → HGB perm-imp →15 | fused→official_FSDS_on_pool,15,0.6666666666666666,0.6434108527131783,0.0009813542688910696,0.9640591966173362,0.7729966808914177,0.006408130168660582,0.6912183080913731,1.8904976844787598,"i_n_exp,i_share_linear,ui_pop_mismatch,u_n_exp,u_span_sec"
