feature,cmean_abs_norm,po_vimp_norm,blend,rank
u_span_sec,1.0,0.07744670982234103,0.5387233549111705,1
ui_pop_mismatch,0.052159524445836644,0.9999999999972405,0.5260797622215386,2
i_n_users,0.0005759851104312264,0.22428879950036912,0.11243239230540017,3
i_log1p_n_users,3.9048763382152955e-06,0.21971529860298591,0.10985960173966207,4
i_log1p_n_exp,4.0029510081434025e-06,0.1802534277383503,0.09012871534467921,5
i_n_covisit_neighbors,0.007090397868796445,0.17124125220137976,0.0891658250350881,6
i_n_exp,0.0005036229281710469,0.15784923718895316,0.0791764300585621,7
i_log1p_n_covisit,4.156032198801711e-06,0.1582207874490695,0.07911247174063415,8
u_log1p_n_uniq,2.5716567878439107e-06,0.12254493800729,0.06127375483203892,9
u_n_exp,0.00011337380549149132,0.10609911146979575,0.05310624263764362,10
u_n_uniq_items,0.00012484530145114305,0.09871335628438656,0.04941910079291885,11
u_n_events,0.00012528852926871394,0.08843994360253522,0.04428261606590197,12
u_log1p_n_events,2.5749704399981656e-06,0.07626974269964906,0.03813615883504453,13
i_credit_linear,5.693043911893384e-08,0.020835159551490658,0.010417608240964889,14
i_share_linear,1.493845161871782e-11,0.017291685734224863,0.008645842874581658,15
i_share_last,1.6111254864216458e-10,0.01265286207094868,0.006326431116030614,16
i_credit_first,3.624009652522777e-07,0.012513610174089617,0.006256986287527435,17
i_share_first,9.509340468440764e-11,0.009061822861987283,0.004530911478540344,18
i_credit_last,5.95310867232798e-07,0.0060279025750211174,0.003014248942944175,19
e_n_exp,9.258070254112248e-09,0.0,4.629035127056124e-09,20
e_log1p_exp,3.6717559694404146e-09,0.0,1.8358779847202073e-09,21
