procedure,mean_alarm_rate,mean_early10,mean_far_pre,mean_t_first,mean_delay,detect_rate,lambda_
addis_lam0.25,0.18833333333333335,0.3,0.28555555555555556,16.133333333333333,5.733333333333333,0.8,0.25
addis_lam0.35,0.185,0.3,0.28555555555555556,16.133333333333333,5.733333333333333,0.8,0.35
addis_lam0.4,0.18333333333333332,0.3,0.28555555555555556,16.133333333333333,5.733333333333333,0.8,0.4
alpha_investing,0.25833333333333336,0.3466666666666667,0.3377777777777778,14.266666666666667,3.8666666666666667,0.8,
saffron,0.19333333333333333,0.3,0.28555555555555556,16.133333333333333,5.733333333333333,0.8,0.5
