dataset,seed,procedure,lambda,n_burn,n_batches,shift_batch,grace,n_monitor,n_alarm,alarm_rate,early10_alarm_rate,far_pre_shift,alarm_rate_post,t_first,t_first_raw,t_first_rel,delay_vs_shift,detected_after_shift
bank,2,alpha_investing,,8,48,,4,40,10,0.25,0.3,0.3,0.25,13,8,5,5,1.0
eeg,0,saffron,0.5,8,48,,4,40,7,0.175,0.2,0.2,0.175,14,8,6,6,1.0
eeg,0,addis_lam0.25,0.25,8,48,,4,40,6,0.15,0.2,0.2,0.15,14,8,6,6,1.0
eeg,0,addis_lam0.35,0.35,8,48,,4,40,7,0.175,0.2,0.2,0.175,14,8,6,6,1.0
eeg,0,addis_lam0.4,0.4,8,48,,4,40,7,0.175,0.2,0.2,0.175,14,8,6,6,1.0
eeg,0,alpha_investing,,8,48,,4,40,11,0.275,0.3,0.3,0.275,13,8,5,5,1.0
eeg,1,saffron,0.5,8,48,,4,40,8,0.2,0.1,0.1,0.2,18,8,10,10,1.0
eeg,1,addis_lam0.25,0.25,8,48,,4,40,8,0.2,0.1,0.1,0.2,18,8,10,10,1.0
eeg,1,addis_lam0.35,0.35,8,48,,4,40,8,0.2,0.1,0.1,0.2,18,8,10,10,1.0
eeg,1,addis_lam0.4,0.4,8,48,,4,40,8,0.2,0.1,0.1,0.2,18,8,10,10,1.0
eeg,1,alpha_investing,,8,48,,4,40,11,0.275,0.2,0.2,0.275,17,8,9,9,1.0
eeg,2,saffron,0.5,8,48,,4,40,8,0.2,0.2,0.2,0.2,14,8,6,6,1.0
eeg,2,addis_lam0.25,0.25,8,48,,4,40,5,0.125,0.2,0.2,0.125,14,8,6,6,1.0
eeg,2,addis_lam0.35,0.35,8,48,,4,40,5,0.125,0.2,0.2,0.125,14,8,6,6,1.0
eeg,2,addis_lam0.4,0.4,8,48,,4,40,5,0.125,0.2,0.2,0.125,14,8,6,6,1.0
eeg,2,alpha_investing,,8,48,,4,40,9,0.225,0.2,0.2,0.225,14,8,6,6,1.0
adult,0,saffron,0.5,8,48,,4,40,5,0.125,0.2,0.2,0.125,20,8,12,12,1.0
adult,0,addis_lam0.25,0.25,8,48,,4,40,6,0.15,0.2,0.2,0.15,20,8,12,12,1.0
adult,0,addis_lam0.35,0.35,8,48,,4,40,5,0.125,0.2,0.2,0.125,20,8,12,12,1.0
adult,0,addis_lam0.4,0.4,8,48,,4,40,5,0.125,0.2,0.2,0.125,20,8,12,12,1.0
adult,0,alpha_investing,,8,48,,4,40,9,0.225,0.3,0.3,0.225,17,8,9,9,1.0
adult,1,saffron,0.5,8,48,,4,40,7,0.175,0.2,0.2,0.175,20,8,12,12,1.0
adult,1,addis_lam0.25,0.25,8,48,,4,40,6,0.15,0.2,0.2,0.15,20,8,12,12,1.0
adult,1,addis_lam0.35,0.35,8,48,,4,40,6,0.15,0.2,0.2,0.15,20,8,12,12,1.0
adult,1,addis_lam0.4,0.4,8,48,,4,40,6,0.15,0.2,0.2,0.15,20,8,12,12,1.0
adult,1,alpha_investing,,8,48,,4,40,8,0.2,0.3,0.3,0.2,15,8,7,7,1.0
adult,2,saffron,0.5,8,48,,4,40,7,0.175,0.5,0.5,0.175,15,8,7,7,1.0
adult,2,addis_lam0.25,0.25,8,48,,4,40,7,0.175,0.5,0.5,0.175,15,8,7,7,1.0
adult,2,addis_lam0.35,0.35,8,48,,4,40,7,0.175,0.5,0.5,0.175,15,8,7,7,1.0
adult,2,addis_lam0.4,0.4,8,48,,4,40,6,0.15,0.5,0.5,0.15,15,8,7,7,1.0
adult,2,alpha_investing,,8,48,,4,40,11,0.275,0.5,0.5,0.275,15,8,7,7,1.0
