"","sample_size","power_null1","power_alt1","power_null2","power_alt2"
"1",200,0.826666666666667,0.816666666666667,0.243333333333333,0.236666666666667
"2",500,0.866666666666667,0.876666666666667,0.33,0.33
"3",1000,0.916666666666667,0.88,0.39,0.376666666666667
"4",2000,0.94,0.93,0.55,0.476666666666667
