"","sample_size","power_null1","power_alt1","power_null2","power_alt2"
"1",200,0.883333333333333,0.866666666666667,0.0466666666666667,0.0633333333333333
"2",500,0.93,0.93,0.0533333333333333,0.0633333333333333
"3",1000,0.94,0.983333333333333,0.06,0.09
"4",2000,0.976666666666667,0.986666666666667,0.1,0.11
