feature,f_score,rank,selected,vimp_cov,delta,abs_delta,sign,mean_early,mean_late,score_blend,blend_rank
design,0.18857202946340842,210,0,0.0014151224061417199,-0.003298868651837296,0.003298868651837296,-1,0.011388298055502542,0.008089429403665246,0.4309252217997465,161
james jean,9.42381828839262,32,0,0.0006780482892703152,0.0004329364142677877,0.0004329364142677877,1,0.005662510136783164,0.006095446551050951,0.4309252217997465,162
artgerm and,12.100369192275751,18,1,0.0006478117430448681,-0.0001813556894282118,0.0001813556894282118,-1,0.007622287862611562,0.00744093217318335,0.4296577946768061,163
black,0.7229856734187916,147,0,0.0004015940212215432,0.003326106719699365,0.003326106719699365,1,0.01577399869973807,0.019100105419437435,0.42839036755386567,164
wlop,3.4346263526994125,69,0,0.0015787119670681734,-0.00013442802634472222,0.00013442802634472222,-1,0.00905268025327945,0.008918252226934728,0.4258555133079847,165
an,1.641894667430376,113,0,0.0028369549858471084,-0.00016526627758451165,0.00016526627758451165,-1,0.021350808983769308,0.021185542706184796,0.4245880861850444,166
wearing,2.290026848246236,89,0,0.0007989687950891921,0.0012302004438819562,0.0012302004438819562,1,0.016352905956912363,0.01758310640079432,0.4245880861850444,167
made of,0.11819812118318752,218,0,0.0010005705535451291,0.0038162820977639413,0.0038162820977639413,1,0.003844160224350537,0.007660442322114478,0.42078580481622313,168
angle,0.31920167193447346,186,0,0.0006094477155961391,-0.003617870307342322,0.003617870307342322,-1,0.0061488132721222045,0.0025309429647798823,0.41951837769328265,169
studio ghibli,0.28786276342400574,193,0,0.0005868464872464079,0.003759002105673008,0.003759002105673008,1,0.0027019878889777524,0.0064609899946507605,0.40937896070975915,170
anime,0.39482180475632683,176,0,0.0006693855595497918,0.003203535146925243,0.003203535146925243,1,0.010892477384008958,0.014096012530934201,0.4093789607097591,171
space,6.486100834342422,42,0,2.938733673851497e-08,-0.0013296720254597268,0.0013296720254597268,-1,0.009996046813170935,0.008666374787711208,0.4055766793409379,172
ultra,0.9490012467427844,141,0,0.0018087149192796334,0.0010346375273101727,0.0010346375273101727,1,0.012857340815752459,0.013891978343062631,0.4043092522179974,173
beksinski,1.7191264226943197,112,0,0.0013125010991445955,0.0009040156191830228,0.0009040156191830228,1,0.006273433194146647,0.00717744881332967,0.4017743979721166,174
frank,0.04976242270428607,231,0,0.0010799780286899305,0.003524771547237573,0.003524771547237573,1,0.002933613776177305,0.006458385323414878,0.3967046894803549,175
hd,0.050553786836204324,230,0,0.0028434468972000295,0.0019638155374240296,0.0019638155374240296,1,0.010746088817274903,0.012709904354698933,0.3967046894803549,176
perfect,3.607164270641962,66,0,0.0,0.0018985263932854643,0.0018985263932854643,1,0.004149723594917725,0.006048249988203189,0.3967046894803549,177
view,0.21438857122165875,208,0,0.002430302922701439,-0.0018313153801283108,0.0018313153801283108,-1,0.009687599214671381,0.00785628383454307,0.39543726235741444,178
