feature,vimp_cov,rank
on the,0.0007369059644788377,206
photorealistic,0.0007338728020153252,207
amano,0.0007268587423441084,208
makoto,0.0007198303630027888,209
surrounded,0.0007172703515784516,210
gothic,0.0007165292784437311,211
paint,0.0006966255774875894,212
of an,0.0006957068343997403,213
magic,0.0006949461243331478,214
mask,0.0006935051653895774,215
clear,0.0006928932512215563,216
painted,0.0006888084374668717,217
golden ratio,0.0006835483497892099,218
vivid,0.0006728450034853809,219
pixiv,0.0006664270392613578,220
kuvshinov,0.0006532237583167148,221
surrounded by,0.0006459026121435343,222
psychedelic,0.00063538390744169,223
wayne,0.0006343884249837166,224
futuristic,0.0006294228718335962,225
vibrant,0.000614804119102509,226
photography,0.0006140831468533931,227
james,0.0006054021149822948,228
sky,0.0006020135665768142,229
her,0.0006014741938484603,230
depth of,0.0005973610995453817,231
vibrant colors,0.000591439651557945,232
intricate details,0.0005853689664818482,233
full,0.0005817690617398625,234
painting by,0.0005739028053460794,235
poster,0.0005713230538807398,236
hyper detailed,0.0005582420428425888,237
hildebrandt,0.0005547836193072031,238
detailed and,0.0005544030932388116,239
suit,0.0005362906057841655,240
oil painting,0.0005359699862798777,241
artwork,0.0005301289640276445,242
canvas,0.0005296709637146983,243
eyes,0.0005264673659773546,244
green,0.0005137820042199913,245
water,0.0005101220881674727,246
looking,0.000502995543326203,247
insanely,0.0004979379188366196,248
atmosphere,0.0004978403425648334,249
photo of,0.0004890053878625672,250
behance,0.0004797320017239246,251
illustration art,0.0004792317571840563,252
beksinski,0.00047880841967376216,253
side,0.000469462870496161,254
james jean,0.000464682883949738,255
still of,0.00046197371314490334,256
scene,0.0004592561196626573,257
wide angle,0.00044976667112838685,258
by james,0.000447255103701705,259
of beautiful,0.0004458476072567882,260
film,0.00043469906867941565,261
like,0.0004333615659399345,262
john,0.00043120419593417587,263
baarle ilya,0.0004273839050054422,264
lens,0.0004225503399224957,265
blue,0.00042096426502279214,266
art nouveau,0.0004168930167101939,267
portrait painting,0.0004124908331124432,268
shinkai and,0.0004040137080773205,269
ray tracing,0.0003916977782975759,270
the background,0.0003909103177271114,271
environment,0.0003902487859246546,272
vector,0.00038889459411917544,273
oil on,0.0003796734734153802,274
matte,0.00037615486567454525,275
artstation by,0.0003724767558781055,276
detail,0.0003723982479585543,277
extreme,0.0003716185312848579,278
cushart,0.0003658461672056235,279
station,0.0003530952856814985,280
long,0.0003478962592098488,281
head,0.0003387814438331731,282
standing,0.0003367018361439215,283
stunning,0.00033615429563537953,284
hd,0.0003271656771485975,285
high quality,0.00032700462135032784,286
art sharp,0.00032563758296268923,287
depth,0.0003254365207104761,288
leyendecker,0.00032534727819054626,289
retro,0.0003218758965169692,290
ancient,0.00031983099575563805,291
award,0.00031513350504199184,292
loish,0.0003144204980567749,293
boris,0.0003122471094644357,294
tom bagshaw,0.0003103911010593576,295
coherent,0.00030837858150210964,296
drawing,0.0002995375243287033,297
young,0.00029055952225131497,298
artgerm and,0.00028940428785096463,299
art of,0.000288740358911232,300
cover,0.0002859149720236591,301
volumetric lighting,0.0002854810678035912,302
edward,0.0002839295209584285,303
clouds,0.0002837927366310344,304
front,0.00027363763483973354,305
features,0.0002714539043226459,306
film still,0.00027053143344358524,307
inspired,0.0002656902473425166,308
award winning,0.0002640400244747385,309
are,0.00026195097199813,310
from the,0.00025659255079539696,311
field,0.0002562080726513257,312
glass,0.00025454815275853857,313
large,0.00025398891066607084,314
atmospheric,0.00025102485884692216,315
charlie,0.0002508835974739645,316
dynamic,0.00025078320772934363,317
ratio,0.0002496414320710274,318
deep,0.00024889164174545013,319
of field,0.00024598478128880035,320
old,0.0002437984714211897,321
faces,0.00024227405100760402,322
closeup,0.0002346537136989122,323
black and,0.00022900506266870408,324
camera,0.00022861941474507878,325
kuvshinov rossdraws,0.00022845469722415618,326
featured,0.00021865112417534375,327
huge,0.0002182726176593674,328
holding,0.00021744715765934603,329
pose,0.00021454552295861466,330
cute,0.0002140053486818047,331
sculpture,0.00021289942302175246,332
watercolor,0.00021167394662840135,333
world,0.00020907931970404642,334
artwork by,0.00020822305497018734,335
pink,0.0002036173143558041,336
high detail,0.0002035244509221399,337
winning,0.00020292681639715732,338
high resolution,0.0001853755238227075,339
lois,0.00017797208324836646,340
god,0.00017784072828639486,341
comic,0.00017747972881752415,342
joe,0.00017114851109631917,343
gaston bussiere,0.0001697893161248679,344
half,0.0001582569826267956,345
ilya,0.00015595094442874907,346
character design,0.0001515952089653474,347
surreal,0.00015126600812116487,348
room,0.0001509391912565449,349
forest,0.00014572274183988855,350
star,0.00014281963118105068,351
ray,0.00014163263015228505,352
brown,0.000135244062070404,353
jia,0.00013499565032104236,354
thomas,0.00013036041955821303,355
animation,0.00013015153502857844,356
ultra detailed,0.0001272878763215358,357
dynamic lighting,0.0001267448110231626,358
to,0.00012660440895588453,359
lights,0.00012495393802870795,360
ross,0.00012400100379574513,361
house,0.00011452007348232364,362
alien,0.00010898679487838248,363
moebius,9.388383391862047e-05,364
epic,9.23149061759203e-05,365
cartoon,9.111500613502554e-05,366
warrior,8.987484597584656e-05,367
mullins,8.92105067340669e-05,368
grey,8.880525254161581e-05,369
queen,8.32039993614336e-05,370
photograph,8.280435684038195e-05,371
rhads,8.065489186533254e-05,372
bussiere,8.01796765777611e-05,373
night,7.50516240732064e-05,374
detailed portrait,7.380217533970641e-05,375
super,6.854720395887143e-05,376
male,6.78687736889369e-05,377
digital illustration,6.013785433283274e-05,378
by ilya,5.878624312200325e-05,379
made,5.806385847722364e-05,380
mumford,5.334806326428152e-05,381
warm,5.111347831715674e-05,382
