feature,f_score,rank,selected,vimp_cov,delta,abs_delta,sign,mean_early,mean_late,score_blend,blend_rank
fi,0.27592546481678426,368,0,0.005543311056996286,0.00306744826011181,0.00306744826011181,1,0.002189941633070256,0.005257389893182066,0.71484375,87
and greg,30.13255383910898,26,1,0.0021960139714688087,0.0007605631460895325,0.0007605631460895325,1,0.00715574068955857,0.007916303835648102,0.708984375,88
style,0.7800758752461705,283,0,0.004812860070806836,0.0017661934290637386,0.0017661934290637386,1,0.022199084034648427,0.023965277463712166,0.7076822916666666,89
bright,0.4410599062509875,328,0,0.0036418428179188856,0.0023109672989237383,0.0023109672989237383,1,0.002710297936623077,0.005021265235546815,0.7037760416666666,90
colorful,1.5397955779274801,235,0,0.0009060626552996661,0.003230687579210128,0.003230687579210128,1,0.005182440855643257,0.008413128434853385,0.703125,91
rendered,1.52220252393097,236,0,0.002394653221265288,0.0017577004080424848,0.0017577004080424848,1,0.002327496144145511,0.004085196552187996,0.7024739583333334,92
soft,1.1579820900565552,254,0,0.0016773791742721394,0.0022969200451559268,0.0022969200451559268,1,0.0043819095198590705,0.006678829565014997,0.6998697916666666,93
his,1.1015456445316296,258,0,0.001075605022469961,-0.0031903121563033546,0.0031903121563033546,-1,0.007730178288689584,0.00453986613238623,0.6979166666666666,94
makoto shinkai,2.220608210430999,198,0,0.001035882442860017,0.0021518751831564784,0.0021518751831564784,1,0.0033720246128924433,0.005523899796048922,0.6966145833333334,95
color,2.719268886058071,177,0,0.0011743032901147998,0.0017289368927247946,0.0017289368927247946,1,0.007429618092263858,0.009158554984988652,0.6927083333333334,96
and alphonse,46.81448633257175,10,1,0.0011602697151093702,-0.0008362459835836991,0.0008362459835836991,-1,0.005813836159810331,0.004977590176226632,0.69140625,97
smooth sharp,26.988262048986496,34,1,0.001307821282775503,-0.0008440557643892609,0.0008440557643892609,-1,0.007158437536675926,0.006314381772286665,0.6881510416666666,98
of the,3.0106936463442997,167,0,0.0011247013749119577,-0.0016622982159474019,0.0016622982159474019,-1,0.013400905815245044,0.011738607599297643,0.6875,99
artstation,9.506157467532281,96,0,0.0042245330337059486,-0.0006352767498411863,0.0006352767498411863,-1,0.030232897993129556,0.02959762124328837,0.6868489583333334,100
james,4.113465984403166,138,0,0.0006054021149822948,0.0018886698707457445,0.0018886698707457445,1,0.006188781340521984,0.008077451211267728,0.685546875,101
full body,33.99405950216597,22,1,0.0009367613744029476,0.0009105493299175387,0.0009105493299175387,1,0.005310115994635585,0.006220665324553123,0.68359375,102
4k,0.005036597003172065,493,0,0.10305720140899968,-0.017669816470207437,0.017669816470207437,-1,0.017669816470207437,0.0,0.6783854166666666,103
shinkai,1.8592731714253623,219,0,0.0009320495016289142,0.0021159943447316416,0.0021159943447316416,1,0.0034013787403244958,0.005517373085056137,0.6770833333333334,104
cinematic,0.17989004904239214,396,0,0.004758531157455237,0.0023950993436561083,0.0023950993436561083,1,0.018871962963030908,0.021267062306687016,0.67578125,105
design,0.9029996534160059,272,0,0.001941211196431263,0.0019235196223923142,0.0019235196223923142,1,0.006034723996576493,0.007958243618968807,0.6751302083333334,106
stanley,1.2190080752595391,250,0,0.001049483985876485,-0.002282021800106278,0.002282021800106278,-1,0.00398335200798622,0.001701330207879942,0.6731770833333334,107
disney,1.8882273171761672,216,0,0.001890226508830819,0.0014621666808532505,0.0014621666808532505,1,0.002400192908306558,0.0038623595891598087,0.6731770833333334,108
photography,2.0145889396165764,207,0,0.0006140831468533931,0.0023252375305603985,0.0023252375305603985,1,0.011506816118915028,0.013832053649475427,0.6712239583333334,109
sci fi,0.12654897198278114,414,0,0.004550819720462119,0.0026895425896938103,0.0026895425896938103,1,0.0021212560521683076,0.004810798641862118,0.6705729166666666,110
alphonse,97.0910111222593,2,1,0.00180799663650844,-0.0004470622192604204,0.0004470622192604204,-1,0.008743528418435785,0.008296466199175364,0.6692708333333334,111
street,0.8384932839424729,275,0,0.0009315838509348553,-0.002783597043579548,0.002783597043579548,-1,0.0064312533739461445,0.0036476563303665965,0.6692708333333334,112
jeremy,0.1430116295849175,409,0,0.004407240959658517,0.0025662844532306148,0.0025662844532306148,1,0.0014091855495371262,0.003975470002767741,0.6692708333333334,113
giger,0.6252060079701612,307,0,0.002441467423400414,0.0018831088917289148,0.0018831088917289148,1,0.002577287945319306,0.004460396837048221,0.6673177083333334,114
shadows,1.6371501326865974,227,0,0.0011495146778911533,0.0018191472598142729,0.0018191472598142729,1,0.0014366324540252345,0.0032557797138395073,0.6647135416666666,115
render,0.026149695248695405,463,0,0.006072419502541924,0.0034654151412513885,0.0034654151412513885,1,0.017745438338907422,0.02121085348015881,0.6640625,116
makoto,1.8592731714254942,218,0,0.0007198303630027888,0.002160522077654425,0.002160522077654425,1,0.0033973779165618924,0.005557899994216318,0.6634114583333334,117
photorealistic,3.3217139478418063,161,0,0.0007338728020153252,-0.0015833918081086095,0.0015833918081086095,-1,0.011830979994848095,0.010247588186739485,0.6614583333333334,118
sci,0.12654897198278114,413,0,0.003398596956570168,0.0026895425896938103,0.0026895425896938103,1,0.0021212560521683076,0.004810798641862118,0.6595052083333334,119
girl,45.55087485543255,11,1,0.0010971970564929386,-0.0006003167146941199,0.0006003167146941199,-1,0.010349364885066815,0.009749048170372695,0.6588541666666666,120
painting,0.6315134844755218,306,0,0.004071003259342133,0.0014429239936825898,0.0014429239936825898,1,0.030754857995950877,0.03219778198963347,0.6569010416666666,121
big,4.4830223646100675,132,0,0.0007387135186566728,-0.0013480859682531501,0.0013480859682531501,-1,0.005998258490441064,0.004650172522187914,0.65625,122
painting trending,2.1736952488570447,200,0,0.0010388393880540127,0.0015385076825454264,0.0015385076825454264,1,0.0019182189256495015,0.003456726608194928,0.654296875,123
by james,4.5849989053892255,130,0,0.000447255103701705,0.0015896607559064762,0.0015896607559064762,1,0.0016721642044329576,0.003261824960339434,0.6490885416666666,124
oil,0.7724803173040777,285,0,0.001434925394593329,0.001825009817246358,0.001825009817246358,1,0.010005065186039011,0.01183007500328537,0.6419270833333334,125
van baarle,0.4309210211486038,332,0,0.004261825516272093,0.0014174947345618964,0.0014174947345618964,1,0.0017461642171110734,0.0031636589516729698,0.6412760416666666,126
michael,1.3289037952065643,243,0,0.0013762854107363402,0.001507313409760857,0.001507313409760857,1,0.0033970735890426693,0.004904386998803526,0.640625,127
ilya kuvshinov,10.608228389170044,86,0,0.0010882031674202544,0.0008408801633805188,0.0008408801633805188,1,0.004654194069344032,0.0054950742327245505,0.640625,128
james jean,6.993359004476921,110,0,0.000464682883949738,0.0013595550986922871,0.0013595550986922871,1,0.003411714901311015,0.004771270000003302,0.6399739583333334,129
pixiv,4.7408058547752905,128,0,0.0006664270392613578,0.0012987492710335438,0.0012987492710335438,1,0.0027751088642249365,0.00407385813525848,0.6399739583333334,130
