y,batch,user_id,n_list,x_sage_0,x_sage_1,x_sage_2,x_sage_3,x_sage_4,x_sage_5,x_sage_6,x_sage_7,x_sage_8,x_sage_9,x_sage_10,x_sage_11,x_sage_12,x_sage_13,x_sage_14,x_sage_15,x_n_nodes,x_n_edges,x_mean_deg,x_n_cc,x_n_q_seeds,x_seed_frac,x_lcc_frac
0.5,0,0,4,0.475,0.275,0.55,0.475,0.497917,0.301806,0.555375,0.475,0.497917,0.301806,0.555375,0.475,0.475,0.291148,0.554742,0.475,1,0.4125,0.275,0.6,0.791667,0.475,0.475
0.25,0,1,4,0.325,0.241667,0.55,0.575,0.39375,0.333681,0.57,0.575,0.39375,0.333681,0.57,0.575,0.332118,0.268345,0.542743,0.575,1,0.3625,0.241667,0.525,0.541667,0.325,0.575
0.25,0,2,4,0.45,0.191667,0.55,0.375,0.4625,0.217917,0.534625,0.375,0.4625,0.217917,0.534625,0.375,0.45,0.206229,0.540444,0.375,1,0.2875,0.191667,0.625,0.75,0.45,0.375
1,0,3,4,0.575,0.383333,0.55,0.55,0.5775,0.410139,0.546125,0.55,0.5775,0.410139,0.546125,0.55,0.57425,0.399875,0.552329,0.55,1,0.575,0.383333,0.5,0.958333,0.575,0.55
0.25,0,4,4,0.35,0.0583333,0.55,0.225,0.358333,0.0694444,0.572917,0.225,0.358333,0.0694444,0.572917,0.225,0.345833,0.0604167,0.55,0.225,1,0.0875,0.0583333,0.85,0.583333,0.35,0.225
0.25,0,5,4,0.5,0.225,0.55,0.375,0.5,0.231944,0.543333,0.375,0.5,0.231944,0.543333,0.375,0.5,0.227083,0.551667,0.375,1,0.3375,0.225,0.6,0.833333,0.5,0.375
0.5,0,6,4,0.475,0.4,0.55,0.425,0.475,0.40625,0.540625,0.425,0.475,0.40625,0.540625,0.425,0.475,0.401042,0.551562,0.425,1,0.6,0.4,0.625,0.791667,0.475,0.425
0.5,0,7,4,0.275,0.0916667,0.55,0.225,0.2625,0.0958333,0.5575,0.225,0.2625,0.0958333,0.5575,0.225,0.275,0.0916667,0.55,0.225,1,0.1375,0.0916667,0.8,0.458333,0.275,0.225
0.75,0,8,4,0.675,0.491667,0.55,0.55,0.675,0.505833,0.558125,0.55,0.675,0.505833,0.558125,0.55,0.675,0.499792,0.555719,0.55,1,0.7375,0.491667,0.475,1.125,0.675,0.55
0.75,0,9,4,0.6,0.316667,0.55,0.425,0.6125,0.325,0.57125,0.425,0.6125,0.325,0.57125,0.425,0.6,0.316667,0.55,0.425,1,0.475,0.316667,0.55,1,0.6,0.425
