y,batch,user_id,n_list,x_sage_0,x_sage_1,x_sage_2,x_sage_3,x_sage_4,x_sage_5,x_sage_6,x_sage_7,x_sage_8,x_sage_9,x_sage_10,x_sage_11,x_sage_12,x_sage_13,x_sage_14,x_sage_15,x_n_nodes,x_n_edges,x_mean_deg,x_n_cc,x_n_q_seeds,x_seed_frac,x_lcc_frac
0.5,1,3,4,0.475,0.441667,0.55,0.6,0.450833,0.477222,0.539833,0.6,0.450833,0.477222,0.539833,0.6,0.46375,0.456296,0.547861,0.6,1,0.6625,0.441667,0.5,0.791667,0.475,0.6
0.25,1,4,4,0.45,0.15,0.55,0.35,0.465,0.17625,0.55875,0.35,0.465,0.17625,0.55875,0.35,0.461,0.164563,0.548813,0.35,1,0.225,0.15,0.725,0.75,0.45,0.35
0.25,1,5,4,0.525,0.433333,0.55,0.575,0.525,0.451389,0.566583,0.575,0.525,0.451389,0.566583,0.575,0.525,0.445,0.555267,0.575,1,0.65,0.433333,0.525,0.875,0.525,0.575
0,1,6,4,0.45,0.125,0.55,0.3,0.45,0.133333,0.535625,0.3,0.45,0.133333,0.535625,0.3,0.45,0.129167,0.542813,0.3,1,0.1875,0.125,0.75,0.75,0.45,0.3
1,1,7,4,0.7,0.666667,0.55,0.725,0.710714,0.681548,0.540327,0.725,0.710714,0.681548,0.540327,0.725,0.704464,0.677629,0.542875,0.725,1,1,0.666667,0.375,1.16667,0.7,0.725
0.75,1,8,4,0.7,0.491667,0.55,0.55,0.7,0.514815,0.563576,0.55,0.7,0.514815,0.563576,0.55,0.7,0.502852,0.542751,0.55,1,0.7375,0.491667,0.5,1.16667,0.7,0.55
0.5,1,9,4,0.5,0.425,0.55,0.5,0.5,0.429167,0.55,0.5,0.5,0.429167,0.55,0.5,0.5,0.425,0.55,0.5,1,0.6375,0.425,0.575,0.833333,0.5,0.5
1,1,10,4,0.425,0.116667,0.55,0.3,0.425,0.116667,0.55,0.3,0.425,0.116667,0.55,0.3,0.425,0.116667,0.55,0.3,1,0.175,0.116667,0.775,0.708333,0.425,0.3
0.5,1,11,4,0.65,0.5,0.55,0.625,0.678333,0.531825,0.56825,0.625,0.678333,0.531825,0.56825,0.625,0.660833,0.517436,0.555869,0.625,1,0.75,0.5,0.475,1.08333,0.65,0.625
0.5,1,12,4,0.625,0.5,0.55,0.7,0.675417,0.557917,0.570146,0.7,0.675417,0.557917,0.570146,0.7,0.663479,0.537448,0.560783,0.7,1,0.75,0.5,0.4,1.04167,0.625,0.7
1,1,13,4,0.3,0.133333,0.55,0.35,0.310417,0.147917,0.552083,0.35,0.310417,0.147917,0.552083,0.35,0.302778,0.138194,0.553889,0.35,1,0.2,0.133333,0.75,0.5,0.3,0.35
0.5,1,14,4,0.425,0.108333,0.55,0.325,0.4375,0.116667,0.54,0.325,0.4375,0.116667,0.54,0.325,0.425,0.110417,0.546875,0.325,1,0.1625,0.108333,0.7,0.708333,0.425,0.325
0.5,1,15,4,0.525,0.558333,0.55,0.65,0.529167,0.572917,0.539375,0.65,0.529167,0.572917,0.539375,0.65,0.526736,0.567187,0.544323,0.65,1,0.8375,0.558333,0.4,0.875,0.525,0.65
0.75,1,16,4,0.65,0.633333,0.55,0.625,0.675,0.67004,0.539345,0.625,0.675,0.67004,0.539345,0.625,0.660714,0.662968,0.537551,0.625,1,0.95,0.633333,0.425,1.08333,0.65,0.625
0.25,1,17,4,0.45,0.158333,0.55,0.325,0.4625,0.1625,0.565,0.325,0.4625,0.1625,0.565,0.325,0.45,0.158333,0.55,0.325,1,0.2375,0.158333,0.7,0.75,0.45,0.325
0.75,1,18,4,0.55,0.308333,0.55,0.5,0.5625,0.327639,0.546167,0.5,0.5625,0.327639,0.546167,0.5,0.555208,0.322201,0.545974,0.5,1,0.4625,0.308333,0.55,0.916667,0.55,0.5
0.75,1,19,4,0.625,0.3,0.55,0.55,0.64,0.340417,0.535708,0.55,0.64,0.340417,0.535708,0.55,0.629444,0.322083,0.549479,0.55,1,0.45,0.3,0.475,1.04167,0.625,0.55
0.5,2,0,4,0.45,0.116667,0.55,0.3,0.466667,0.134722,0.562917,0.3,0.466667,0.134722,0.562917,0.3,0.458333,0.120833,0.551875,0.3,1,0.175,0.116667,0.725,0.75,0.45,0.3
0.25,2,1,4,0.525,0.458333,0.55,0.475,0.525,0.465278,0.555833,0.475,0.525,0.465278,0.555833,0.475,0.525,0.460417,0.550417,0.475,1,0.6875,0.458333,0.525,0.875,0.525,0.475
0.5,2,2,4,0.475,0.541667,0.55,0.55,0.475,0.552381,0.552857,0.55,0.475,0.552381,0.552857,0.55,0.475,0.548895,0.553197,0.55,1,0.8125,0.541667,0.525,0.791667,0.475,0.55
0.5,2,3,4,0.625,0.291667,0.55,0.45,0.625,0.291667,0.55,0.45,0.625,0.291667,0.55,0.45,0.625,0.291667,0.55,0.45,1,0.4375,0.291667,0.6,1.04167,0.625,0.45
0.5,2,4,4,0.375,0.166667,0.55,0.325,0.425,0.183333,0.586667,0.325,0.425,0.183333,0.586667,0.325,0.375,0.166667,0.55,0.325,1,0.25,0.166667,0.75,0.625,0.375,0.325
0,2,5,4,0.525,0.291667,0.55,0.45,0.547917,0.304861,0.548958,0.45,0.547917,0.304861,0.548958,0.45,0.531944,0.297454,0.556528,0.45,1,0.4375,0.291667,0.625,0.875,0.525,0.45
0.5,2,6,4,0.5,0.291667,0.55,0.425,0.5,0.305833,0.55875,0.425,0.5,0.305833,0.55875,0.425,0.5,0.299792,0.548312,0.425,1,0.4375,0.291667,0.675,0.833333,0.5,0.425
0.5,2,7,4,0.575,0.483333,0.55,0.475,0.575,0.483333,0.55,0.475,0.575,0.483333,0.55,0.475,0.575,0.483333,0.55,0.475,1,0.725,0.483333,0.575,0.958333,0.575,0.475
0.75,2,8,4,0.6,0.383333,0.55,0.425,0.6,0.417593,0.540972,0.425,0.6,0.417593,0.540972,0.425,0.6,0.406424,0.550972,0.425,1,0.575,0.383333,0.575,1,0.6,0.425
0.5,2,9,4,0.375,0.216667,0.55,0.4,0.37875,0.230347,0.557208,0.4,0.37875,0.230347,0.557208,0.4,0.374722,0.229433,0.562688,0.4,1,0.325,0.216667,0.625,0.625,0.375,0.4
0.5,2,10,4,0.425,0.233333,0.55,0.425,0.450833,0.251944,0.524625,0.425,0.450833,0.251944,0.524625,0.425,0.434097,0.245671,0.540059,0.425,1,0.35,0.233333,0.575,0.708333,0.425,0.425
0.25,2,11,4,0.475,0.2,0.55,0.375,0.491667,0.206944,0.55625,0.375,0.491667,0.206944,0.55625,0.375,0.483333,0.202083,0.551875,0.375,1,0.3,0.2,0.7,0.791667,0.475,0.375
0.5,2,12,4,0.575,0.308333,0.55,0.45,0.591667,0.324722,0.537833,0.45,0.591667,0.324722,0.537833,0.45,0.583333,0.315407,0.544351,0.45,1,0.4625,0.308333,0.55,0.958333,0.575,0.45
0.5,2,13,4,0.55,0.308333,0.55,0.45,0.5625,0.316667,0.551875,0.45,0.5625,0.316667,0.551875,0.45,0.55625,0.3125,0.550938,0.45,1,0.4625,0.308333,0.575,0.916667,0.55,0.45
0.75,2,14,4,0.525,0.216667,0.55,0.5,0.554167,0.243056,0.538333,0.5,0.554167,0.243056,0.538333,0.5,0.541667,0.229861,0.54,0.5,1,0.325,0.216667,0.575,0.875,0.525,0.5
0.5,2,15,4,0.5,0.441667,0.55,0.475,0.5,0.441667,0.55,0.475,0.5,0.441667,0.55,0.475,0.5,0.441667,0.55,0.475,1,0.6625,0.441667,0.6,0.833333,0.5,0.475
0.25,2,16,4,0.375,0.133333,0.55,0.25,0.375,0.133333,0.55,0.25,0.375,0.133333,0.55,0.25,0.375,0.133333,0.55,0.25,1,0.2,0.133333,0.85,0.625,0.375,0.25
0.25,2,17,4,0.45,0.125,0.55,0.3,0.4625,0.129167,0.55375,0.3,0.4625,0.129167,0.55375,0.3,0.45,0.125,0.55,0.3,1,0.1875,0.125,0.725,0.75,0.45,0.3
0.25,2,18,4,0.425,0.3,0.55,0.375,0.425,0.310417,0.559792,0.375,0.425,0.310417,0.559792,0.375,0.425,0.304861,0.551944,0.375,1,0.45,0.3,0.7,0.708333,0.425,0.375
0.5,2,19,4,0.675,0.566667,0.55,0.625,0.675,0.621548,0.580821,0.625,0.675,0.621548,0.580821,0.625,0.675,0.594421,0.567593,0.625,1,0.85,0.566667,0.475,1.125,0.675,0.625
0,3,0,4,0.35,0.108333,0.55,0.3,0.366667,0.119444,0.55375,0.3,0.366667,0.119444,0.55375,0.3,0.358333,0.110417,0.551458,0.3,1,0.1625,0.108333,0.725,0.583333,0.35,0.3
0.5,3,1,4,0.575,0.241667,0.55,0.425,0.583333,0.266667,0.541083,0.425,0.583333,0.266667,0.541083,0.425,0.577778,0.254259,0.551867,0.425,1,0.3625,0.241667,0.6,0.958333,0.575,0.425
0,3,2,4,0.5,0.341667,0.55,0.475,0.5,0.346875,0.547917,0.475,0.5,0.346875,0.547917,0.475,0.5,0.347569,0.54934,0.475,1,0.5125,0.341667,0.575,0.833333,0.5,0.475
0.75,3,3,4,0.5,0.158333,0.55,0.35,0.525,0.173333,0.5565,0.35,0.525,0.173333,0.5565,0.35,0.5,0.165139,0.550667,0.35,1,0.2375,0.158333,0.65,0.833333,0.5,0.35
