variant,notes,n_selected,jaccard_vs_baseline,W1_hgb_auc,W1_hgb_ap,W1_logreg_auc,W2_hgb_auc,W2_hgb_ap,W2_logreg_auc,sec,top5
A_baseline_F|W1hold,Scaler→Var→SelectKBest(F) | metrics=official_run_fsds,15,1.0,0.5458877515001765,0.0006724949562878278,0.48464525238263323,0.8362898502217387,0.017055797184651396,0.6457060775946225,0.32346129417419434,"e_n_exp,u_n_exp,u_n_uniq_items,u_log1p_n_events,u_log1p_n_uniq"
P_po_vimp_FSDS|W1hold,PO-VIMP pre→18 (risk=1.15413e-06) then FSDS-F→15 | fused→official_FSDS,15,0.6666666666666666,0.69219908224497,0.000980392156862745,0.583127426756089,0.8709835996987698,0.01359683589075088,0.5152916073968705,2.697176456451416,"ui_pop_mismatch,i_n_users,i_log1p_n_exp,u_n_exp,i_n_exp"
Z_combined_PO|W1hold,COMBINED-PO(α=0.5): cmean⋈PO-VIMP→18 | 3-fold π-stable SelectKBest(F) (n_pos=3) | PO-risk=1.15413e-06 | →FSDS | fused→official_FSDS,15,0.5,0.622132015531239,0.000531632110579479,0.6840804800564773,0.8428897163417287,0.00901259805414031,0.6567442055058155,2.752412796020508,"i_share_first,i_credit_first,i_log1p_n_exp,i_n_exp,u_span_sec"
Z_combined_PO_a03|W1hold,COMBINED-PO(α=0.3): cmean⋈PO-VIMP→18 | 3-fold π-stable SelectKBest(F) (n_pos=3) | PO-risk=1.15413e-06 | →FSDS | fused→official_FSDS,15,0.5,0.622132015531239,0.000531632110579479,0.6840804800564773,0.8428897163417287,0.00901259805414031,0.6567442055058155,2.7461042404174805,"i_share_first,i_credit_first,i_log1p_n_exp,i_n_exp,u_span_sec"
Z_combined_PO_a07|W1hold,COMBINED-PO(α=0.7): cmean⋈PO-VIMP→18 | 3-fold π-stable SelectKBest(F) (n_pos=3) | PO-risk=1.15413e-06 | →FSDS | fused→official_FSDS,15,0.5,0.622132015531239,0.000531632110579479,0.6840804800564773,0.8428897163417287,0.00901259805414031,0.6567442055058155,2.753760814666748,"i_share_first,i_credit_first,i_log1p_n_exp,i_n_exp,u_span_sec"
P_po_vimp_rare_pi|W1hold,PO-VIMP+rare-π: pre→18 | 3-fold π (n_pos=3)→15 | PO-risk=1.15413e-06 | →FSDS | fused→official_FSDS,15,0.5,0.622132015531239,0.000531632110579479,0.6840804800564773,0.8428897163417287,0.00901259805414031,0.6567442055058155,2.743699550628662,"i_share_first,i_credit_first,i_log1p_n_exp,i_n_exp,u_span_sec"
Z_combined_PO_rare|W1hold,COMBINED-PO-rare: cmean⋈PO→18 | 3-fold π (n_pos=3)→15 | PO-risk=1.15413e-06 | →FSDS | fused→official_FSDS,15,0.5,0.622132015531239,0.000531632110579479,0.6840804800564773,0.8428897163417287,0.00901259805414031,0.6567442055058155,2.764288902282715,"i_share_first,i_credit_first,i_log1p_n_exp,i_n_exp,u_span_sec"
