item_id,n_W1,n_W2,mmd2,rank,selected
226288,65,170,1.7191229296280726,1,1
3757633,18,37,1.681222582312157,2,1
86522,4,13,1.634223161496526,3,1
2708068,10,29,1.6154661389832499,4,1
543572,13,4,1.6040530589105237,5,1
498321,10,50,1.5967249110703428,6,1
3885368,23,49,1.5826408984674076,7,1
4486643,3,29,1.5758611791866197,8,1
2160858,6,11,1.5729511801191303,9,1
259284,6,29,1.5707890807479838,10,1
1608867,8,30,1.5702483583433668,11,1
107021,5,26,1.5676488179828647,12,1
518981,3,28,1.5669721299605495,13,1
4194222,13,4,1.5648893167919753,14,1
1863797,5,33,1.5633289393630907,15,1
3782465,3,13,1.5600037454278777,16,1
3774164,4,19,1.5589555736298202,17,1
4227048,4,16,1.5566711829473667,18,1
3926596,3,10,1.5564093782790822,19,1
4680184,7,27,1.5562998395424112,20,1
3576787,12,68,1.5550712322513023,21,1
3848343,10,31,1.55000479301243,22,1
3663009,3,24,1.542451289055764,23,1
1843266,13,34,1.5419479535203864,24,1
4420529,10,46,1.541221022147377,25,1
1440054,13,37,1.5354254285901838,26,1
345842,22,11,1.535023315494647,27,1
3914247,4,23,1.52420337518063,28,1
2189611,5,31,1.5224504693474483,29,1
4156,4,36,1.5219546701082707,30,1
2926410,5,9,1.5189378941321152,31,1
283912,8,19,1.5114809775502378,32,1
992150,4,12,1.5095008965364012,33,1
2284130,3,84,1.5059520567666382,34,1
3037755,3,48,1.5035105995305074,35,1
3013074,4,66,1.500800951429948,36,1
2370398,12,35,1.499007878443435,37,1
3416079,3,8,1.4905125412910047,38,1
1867951,3,50,1.4883807269213531,39,1
2131901,3,31,1.486725372830263,40,1
3383159,10,28,1.485843714927686,41,1
2041119,3,13,1.4797951576770136,42,1
934499,5,29,1.4787803475213386,43,1
1242724,5,39,1.477772471766343,44,1
4041880,3,23,1.4769488321510296,45,1
53521,9,68,1.4753935277099015,46,1
2103096,3,11,1.4672421497533734,47,1
1876197,5,30,1.464913888027647,48,1
4696790,4,11,1.4596265548106775,49,1
3383174,3,29,1.459618401981739,50,1
2942919,3,20,1.4554329061774482,51,1
4647166,4,17,1.4537562553975787,52,1
4663704,3,46,1.448861676597152,53,1
74083,6,28,1.4480495267122349,54,1
3975971,4,24,1.4476132442056395,55,1
4210600,9,22,1.4466777428525555,56,1
1238603,8,70,1.4443314306710757,57,1
4140599,4,21,1.4434558688955483,58,1
2572159,4,25,1.4404689401749335,59,1
428349,7,26,1.4400823602463215,60,1
1415450,3,11,1.439637779215548,61,1
1958756,3,18,1.4372512756346698,62,1
4078937,3,8,1.4328812589202127,63,1
679382,4,45,1.431287646625057,64,1
181144,3,29,1.4288829179205387,65,1
1670704,3,13,1.426447014340685,66,1
1353684,3,32,1.4249219818072307,67,1
527186,3,7,1.4225310182679942,68,1
2724575,8,36,1.4183053790878828,69,1
1234519,3,28,1.4158359647930172,70,1
490022,16,86,1.4147282375107488,71,1
102919,3,29,1.414390257802131,72,1
868563,3,132,1.4135925485762937,73,1
2625741,10,33,1.4108520764491457,74,1
872698,5,50,1.407658105042621,75,1
749302,8,60,1.4054732009817221,76,1
523150,6,17,1.404559241886997,77,1
4260006,3,23,1.4043586492001294,78,1
588851,3,47,1.3974159876040249,79,1
1510013,6,167,1.3956588025022076,80,1
2403364,11,41,1.3898685659926446,81,1
901522,6,11,1.387148352026871,82,1
2930632,3,11,1.3793572233782898,83,1
4519531,9,4,1.3763931408517067,84,1
2543388,4,21,1.3761799863885367,85,1
2955369,3,10,1.3713704965647469,86,1
2448733,3,26,1.3705493109172717,87,1
2885065,6,24,1.3670642797761738,88,1
4680235,5,23,1.3665521477266898,89,1
926241,4,26,1.3658299909844465,90,1
2210112,21,9,1.3628494246814704,91,1
1666679,3,17,1.3602177170966416,92,1
2535188,14,88,1.3582895556321533,93,1
642402,7,27,1.3565170175523524,94,1
2288222,4,32,1.343264250842135,95,1
560077,4,120,1.342426112829381,96,1
967444,7,30,1.340999633323955,97,1
3630202,3,16,1.3409107214976619,98,1
1094771,10,49,1.3391815668760942,99,1
2996490,10,70,1.3380230928896908,100,1
226325,4,68,1.3368607446977432,101,1
4465932,5,13,1.3348275427891916,102,1
1613010,8,50,1.3337918345616624,103,1
2070087,9,24,1.3321436457589404,104,1
4247564,3,21,1.3306667449983787,105,1
2012376,3,26,1.3299200966096478,106,1
4231166,6,56,1.3286059086798025,107,1
1872179,3,7,1.3249104048653404,108,1
345829,9,46,1.3232867639492711,109,1
1596457,5,26,1.3209055041851223,110,1
1226306,3,6,1.3199965518164642,111,1
4358780,5,13,1.3144357110196436,112,1
3226857,3,31,1.3119769081887307,113,1
1415412,13,72,1.3107658578985688,114,1
3144740,3,12,1.310284770864056,115,1
3148715,3,16,1.3093700781544266,116,1
4404024,4,24,1.3074327321903556,117,1
1641944,8,3,1.300721134856643,118,1
4120050,4,28,1.2981158035585707,119,1
3161059,4,19,1.2952509126807126,120,1
1971100,9,65,1.292675413851841,121,1
1600606,4,13,1.2925952931586684,122,1
1551189,3,12,1.2846979624478114,123,1
2255276,4,32,1.2826623295470843,124,1
4107734,3,8,1.281838465760592,125,1
3877201,4,55,1.279892687786988,126,1
2506320,12,93,1.2765915671369858,127,1
2037042,4,12,1.2735956076753383,128,1
708155,3,61,1.2728716381505167,129,1
2843782,3,23,1.2670157454096453,130,1
345849,4,7,1.2662489429347303,131,1
4185970,3,35,1.2660031451223772,132,1
139953,8,49,1.2624207639618819,133,1
3840155,3,19,1.2593878697772354,134,1
2963495,8,72,1.2550339262141708,135,1
2876755,3,60,1.2524466217343324,136,1
383114,3,24,1.2502399628322287,137,1
4704858,14,103,1.2455672766455548,138,1
1287879,3,23,1.2447820889238828,139,1
1053625,5,23,1.2446406211638825,140,1
1,5,111,1.22780908399874,141,1
3498634,8,94,1.2274685609215568,142,1
3782395,4,7,1.2253589634122926,143,1
1617159,3,17,1.2215974881769005,144,1
1748897,3,23,1.2213874703671586,145,1
469386,8,13,1.2209558984814488,146,1
2712346,3,5,1.2207158603328756,147,1
4255891,8,15,1.216155789819939,148,1
724639,5,27,1.2142394430386385,149,1
2259399,7,49,1.2110988955708697,150,1
3646652,3,25,1.2084444249583237,151,1
3350267,7,3,1.202227047635227,152,1
1131780,3,51,1.2017140258044923,153,1
41269,4,15,1.1929182431361627,154,1
1320845,6,25,1.1919791470334047,155,1
650672,4,10,1.1904153677698366,156,1
2839776,4,11,1.1900835957281866,157,1
3490322,3,16,1.1879949922798125,158,1
2370401,3,19,1.183776876172053,159,1
205766,4,223,1.1826938518845285,160,1
321071,4,67,1.1825531332883428,161,1
4087104,6,20,1.176219935447276,162,1
2810899,15,197,1.17574460997653,163,1
4441205,4,8,1.1744195454572042,164,1
4235248,5,127,1.1713086337360734,165,1
1538694,8,51,1.1706365330595583,166,1
354058,12,14,1.1592709133164476,167,1
4305270,8,3,1.15685779616394,168,1
4606010,3,19,1.1556963760268797,169,1
403683,6,61,1.1517967438460672,170,1
3918343,3,15,1.1484796472576189,171,1
3161041,3,116,1.148289595094798,172,1
4198310,12,13,1.146676289393015,173,1
469392,3,17,1.1440865053736422,174,1
1592352,8,13,1.143194300764601,175,1
1349590,3,55,1.1378119199314065,176,1
4540025,6,39,1.1355464761619953,177,1
2942932,7,3,1.1335841637124906,178,1
967572,6,14,1.1313501175772704,179,1
1575754,6,33,1.1312947375896965,180,1
399581,3,38,1.1303861978968177,181,1
1160604,3,13,1.126643032948802,182,1
819199,5,46,1.1248587763242177,183,1
3161051,10,89,1.1247807183250251,184,1
2485705,12,19,1.1215510407148002,185,1
3362630,3,13,1.1198539122693643,186,1
2633945,4,92,1.1179122698249557,187,1
4136531,6,21,1.1120969372444502,188,1
1584031,4,5,1.1113077920842562,189,1
2448727,3,19,1.1093581147690659,190,1
4190043,3,18,1.1074961824051541,191,1
1020837,11,143,1.1055781006644139,192,1
2757472,4,5,1.1025057382077534,193,1
1370159,4,33,1.1017539030479846,194,1
41297,3,54,1.0961678944516244,195,1
1863791,4,22,1.0959833653472628,196,1
3222808,4,12,1.095543984291489,197,1
2304650,11,124,1.0931598428927272,198,1
2588650,6,20,1.0867283735819078,199,1
2329406,6,7,1.086705186914288,200,1
872892,3,5,1.0857340391790864,201,0
695799,5,63,1.0798125550861737,202,0
275680,8,16,1.0797688257863616,203,0
4647164,4,6,1.0773325721755938,204,0
4210634,3,20,1.0763310492597062,205,0
2592746,6,72,1.0760543933763889,206,0
3140612,3,21,1.0746284350272959,207,0
2613283,6,14,1.0735628173671876,208,0
1386562,7,12,1.0710694161880454,209,0
2016427,4,66,1.0687046846789694,210,0
1691331,3,5,1.065007162853778,211,0
3087177,5,48,1.0647096329141648,212,0
2955359,4,15,1.0612004017615424,213,0
2053500,6,76,1.0609090919776025,214,0
61717,3,62,1.0601485382942526,215,0
3626129,4,5,1.0589543300132285,216,0
2732902,5,15,1.0582045988033768,217,0
2156664,7,8,1.0567771116289935,218,0
2024883,3,14,1.0520972089217906,219,0
251193,3,11,1.050421483820129,220,0
1238707,10,12,1.0476543313396836,221,0
1024910,4,6,1.041729303854344,222,0
2959457,4,5,1.0408493818364302,223,0
383044,4,16,1.038980711801928,224,0
2551680,6,13,1.0380847097397905,225,0
2432156,4,56,1.037533252386023,226,0
395439,6,121,1.0323506872365946,227,0
757598,4,5,1.0321693571946384,228,0
2893403,4,13,1.0316082131316338,229,0
37357,9,5,1.030721596278331,230,0
1218132,5,37,1.029133178673813,231,0
2074153,3,35,1.0215135814652645,232,0
2617386,4,8,1.0207161268488907,233,0
2996531,5,86,1.0131830332037688,234,0
2967683,3,17,1.0103516902712826,235,0
1061987,3,5,1.0100877883094843,236,0
765698,3,46,1.0070355558802078,237,0
485908,7,14,1.002514779336745,238,0
3152940,5,4,1.0012070927742298,239,0
41284,15,27,0.9992665537321578,240,0
2691717,4,8,0.9988506709353457,241,0
1020834,4,8,0.9983091773065158,242,0
1802198,3,24,0.9862027585181959,243,0
4577157,5,20,0.9841300643969862,244,0
3548003,5,3,0.9820345646407018,245,0
1464880,4,47,0.9782335234677405,246,0
650696,3,4,0.9772695125358933,247,0
465302,3,29,0.9767525937039581,248,0
1522344,6,10,0.9765805130564768,249,0
4527711,3,6,0.9755914213057251,250,0
4243465,9,15,0.9726929328569786,251,0
1267425,4,6,0.9644078720689815,252,0
1546968,3,17,0.964017034169843,253,0
2349939,3,17,0.9638692709716172,254,0
119308,7,150,0.959465685066482,255,0
1707892,5,6,0.9577983789026511,256,0
131642,11,10,0.9576254822621423,257,0
1538699,4,6,0.9520232920736502,258,0
1341428,5,3,0.9519658832263087,259,0
4190039,3,9,0.9514317151743482,260,0
69988,9,4,0.9432746035995675,261,0
782167,4,405,0.942574269985545,262,0
2345726,3,20,0.9398057886490283,263,0
3848393,8,12,0.9385339220955345,264,0
4630713,5,52,0.9375480382982029,265,0
2510644,5,4,0.9326696751808063,266,0
4721332,4,4,0.9316730915324829,267,0
930386,3,4,0.9293800255140469,268,0
572389,4,14,0.9272228589315501,269,0
3120047,5,9,0.9235351641532186,270,0
90636,3,6,0.9233132557943795,271,0
4647230,3,11,0.9230457793499641,272,0
4548301,3,75,0.9230165725190662,273,0
436841,4,3,0.9221195527004951,274,0
3774157,3,6,0.9214477160698213,275,0
2296472,4,62,0.9195300429005451,276,0
4494972,4,11,0.9188687023257012,277,0
65881,4,3,0.9162906285396784,278,0
3420181,3,14,0.9154367998196379,279,0
366512,3,72,0.9139204066626454,280,0
506603,3,14,0.9129250185201352,281,0
2086582,4,3,0.9111053387677512,282,0
1415638,4,3,0.9093029760854798,283,0
568371,6,7,0.9014389576151142,284,0
1900888,3,10,0.8956713374379855,285,0
4564806,3,14,0.8946484338587015,286,0
2621554,6,75,0.8928085941655457,287,0
2028785,8,5,0.8921861681160241,288,0
1008536,26,32,0.8901713187195133,289,0
2938817,13,12,0.8888316465943472,290,0
3362588,3,11,0.8875677001737192,291,0
123590,3,6,0.885796843496447,292,0
1979626,3,5,0.8843069536650574,293,0
4647145,4,13,0.8828792257922892,294,0
3622169,4,7,0.8818094647058312,295,0
790418,10,6,0.8814158029767745,296,0
4379422,10,16,0.8788291629067075,297,0
3819515,3,6,0.876574927145662,298,0
2712428,6,6,0.8748650292582949,299,0
4630710,7,7,0.8721792533150095,300,0
2514601,3,13,0.871247942124528,301,0
4210635,16,14,0.8690921395437593,302,0
4404096,6,5,0.8671527106155559,303,0
2288278,5,15,0.8667386917199478,304,0
967428,3,24,0.8661178140876507,305,0
3486210,3,44,0.8644693653199329,306,0
3177541,19,12,0.8630759857383262,307,0
2020557,3,76,0.8619709671416564,308,0
1863802,3,23,0.8602164961692197,309,0
3560331,8,9,0.8587073903014423,310,0
1066041,8,7,0.8581806477147433,311,0
4140710,5,5,0.8549766232868299,312,0
82788,4,3,0.8536311552351407,313,0
111282,3,5,0.8518681078866948,314,0
3161094,5,9,0.8515278914955984,315,0
465266,8,159,0.8509942018836275,316,0
1814588,6,6,0.8501632031056114,317,0
815094,15,20,0.8426162805214992,318,0
3856636,6,3,0.8389156157070085,319,0
2288226,13,15,0.836488683544712,320,0
3515285,3,14,0.8323817692661395,321,0
1452536,4,6,0.8317235977735438,322,0
3589130,5,7,0.8266058488285367,323,0
189369,7,6,0.8251212051264141,324,0
1744829,3,5,0.8181661929628196,325,0
1995911,8,4,0.8173987997968337,326,0
193611,5,3,0.8169642650406482,327,0
1884461,3,13,0.8167922043202093,328,0
3926643,6,19,0.814505570395818,329,0
745190,5,11,0.8137675938426774,330,0
2300615,3,9,0.800157845226139,331,0
1061905,3,11,0.7998501223664789,332,0
111116,4,5,0.7969131267262431,333,0
3407930,6,3,0.7968582438840792,334,0
2477534,4,5,0.7956185689299946,335,0
1522447,3,4,0.7917657849077709,336,0
152490,3,7,0.7911062774413,337,0
177112,3,11,0.7900884385060489,338,0
2951202,10,13,0.7879573168664796,339,0
420056,5,3,0.786210938574955,340,0
304521,6,16,0.7834142768152637,341,0
1641912,7,8,0.7809437304025575,342,0
4321726,6,6,0.7802601504275062,343,0
4313482,4,13,0.7731919218816163,344,0
597124,9,15,0.767068772456797,345,0
1575787,4,10,0.7658175684933453,346,0
1189278,5,7,0.7571624951772158,347,0
2300603,4,16,0.756129953211445,348,0
3790694,3,6,0.7527131233287887,349,0
4046094,3,6,0.7513072876156428,350,0
1522426,3,4,0.7499014888641242,351,0
2354018,3,6,0.7388344753566517,352,0
4548405,3,5,0.7335062857677241,353,0
1107227,3,4,0.731923868127766,354,0
4663721,9,15,0.7308592936893872,355,0
4083005,9,15,0.7268108032523308,356,0
370858,3,5,0.7214844694745519,357,0
4396010,3,10,0.7157181798390474,358,0
3556210,10,7,0.7104647874475649,359,0
2576289,3,38,0.7094464481903501,360,0
823385,3,7,0.7022606450830763,361,0
3852472,3,65,0.6940688249397209,362,0
2633996,10,8,0.6933214813656638,363,0
4754395,4,4,0.6886983783618281,364,0
3868932,5,14,0.6870187997029347,365,0
4062540,6,3,0.6754784783229966,366,0
2419870,3,9,0.6718890834092683,367,0
3761757,6,5,0.6706920509478175,368,0
135776,5,8,0.6611756280098743,369,0
2127857,3,7,0.6607858012175285,370,0
580596,5,6,0.6593073109702203,371,0
2415768,5,11,0.6578084078923531,372,0
597183,7,31,0.6540637357634739,373,0
757523,3,11,0.6498093351579942,374,0
469400,6,8,0.6487387682235278,375,0
2823232,5,3,0.6475784706591514,376,0
2539311,5,6,0.6361049698059286,377,0
3971960,5,8,0.6361016025210544,378,0
2090855,4,4,0.5964863727926581,379,0
3017282,3,6,0.5864903595198937,380,0
2045224,3,4,0.577982383539065,381,0
790505,5,8,0.5777150278986447,382,0
1053679,3,7,0.5610438092841781,383,0
2691877,3,6,0.5609786059551563,384,0
3358453,3,10,0.5316312929252964,385,0
4375303,5,15,0.5210084598991681,386,0
444774,4,18,0.5206438384714218,387,0
1160630,7,10,0.5193406223434414,388,0
539539,4,11,0.5113456995313359,389,0
1579958,4,5,0.4843459680849942,390,0
1958733,3,15,0.4823327368309317,391,0
1859726,4,7,0.47358238162942756,392,0
2041131,3,7,0.4663615218258581,393,0
3926677,3,7,0.45995742510760596,394,0
4655451,7,4,0.4569017385432238,395,0
2938845,5,10,0.4492716974428106,396,0
3379107,3,5,0.426642942267073,397,0
1477215,3,31,0.3561822869134268,398,0
2399340,3,7,0.3194588810742034,399,0
909813,3,4,0.24157771142874196,400,0
