variant,mean_W2,std_W2,mean_AP,mean_W1
P_po_vimp_FSDS,0.7221455201331363,0.17046694918816666,0.006961923821458,0.6802343957342667
Z_combined,0.7196759452951403,0.15720513266348884,0.007237581388248634,0.6795238186055735
Z_combined_PO_rare,0.7170831822534609,0.13692106131117482,0.005350080851522234,0.6487809791631295
A_baseline_F,0.7155921401277437,0.1536922211137169,0.009877050419749634,0.6541090639285526
Z_combined_PO,0.7114897405145083,0.17091825990743403,0.006669311282117033,0.6804697175368317
P_po_boot_pi,0.7012883626660716,0.15553504644650176,0.006621066270720534,0.6467733473796747
