feature,mean_W1,mean_W2,std_W1,std_W2,smd_W2_minus_W1,abs_smd,domain_auc,ks,perm_importance,perm_importance_std,r_abs_smd,r_domain_auc,r_ks,r_perm_importance,rank_score,selected,rank
i_share_linear,0.000525724747084487,8.099219841823407e-05,0.00028884536898311975,5.7393406917016424e-05,-2.135699413937773,2.135699413937773,1.0,1.0,0.4529833392205345,0.010606285754097857,6.0,1.0,1.0,1.0,2.25,1,1
u_n_events,28.852267186738178,79.86577181208054,15.226043230950904,20.129749501877388,2.858360996997159,2.858360996997159,0.9563018039980498,0.8104471327894833,0.0,0.0,1.0,2.5,5.0,11.5,5.0,1,2
u_n_uniq_items,28.82155046318869,79.65548098434004,15.211024759745895,20.07081668709011,2.8546385983591587,2.8546385983591587,0.956234313593958,0.8107768131876523,0.0,0.0,2.0,4.5,2.5,11.5,5.125,1,3
u_log1p_n_events,3.2363365158867885,4.345188369589207,0.6226891787955152,0.3505025224946426,2.194576592683272,2.194576592683272,0.9563018039980498,0.8104471327894833,0.0,0.0,4.0,2.5,5.0,11.5,5.75,1,4
u_log1p_n_uniq,3.2353403695914387,4.342681700371667,0.6225562205516908,0.35002792664764587,2.1926566737882562,2.1926566737882562,0.956234313593958,0.8107768131876523,0.0,0.0,5.0,4.5,2.5,11.5,5.875,1,5
u_n_exp,25.537786445636275,71.1403803131991,13.86069548586079,18.81755933835941,2.759440130165872,2.759440130165872,0.9529760950352151,0.8104471327894833,0.0,0.0,3.0,6.0,5.0,11.5,6.375,1,6
i_log1p_n_covisit,5.367711372869443,6.895458105562004,0.8668528568931193,0.9081513487798472,1.7209349486568661,1.7209349486568661,0.9086342178257565,0.7248649373852663,0.0,0.0,7.0,7.5,8.5,11.5,8.625,1,7
i_n_covisit_neighbors,277.85909312530475,1348.1370246085012,177.44487236704805,929.8905709563696,1.598870095642981,1.598870095642981,0.9086342178257565,0.7248649373852663,0.0,0.0,10.0,7.5,8.5,11.5,9.375,1,8
i_log1p_n_users,2.9756934178803913,4.30357116241737,0.7030615821620375,0.9047724627374731,1.6389126625874602,1.6389126625874602,0.8833670376321039,0.6876925862540998,0.0,0.0,8.0,9.5,10.5,11.5,9.875,1,9
i_n_users,23.343247196489518,101.37360178970917,16.043127425118268,74.19095485220349,1.4537978484927843,1.4537978484927843,0.8833670376321039,0.6876925862540998,0.0,0.0,12.0,9.5,10.5,11.5,10.875,1,10
i_log1p_n_exp,2.7872832606286115,4.115218769693899,0.7327911523564558,0.9006771608881239,1.6173889169194282,1.6173889169194282,0.8812317503220451,0.6552418365243342,0.0,0.0,9.0,11.5,12.5,11.5,11.125,1,11
i_n_exp,19.607508532423207,83.31208053691275,14.385766917149033,59.88764582547058,1.4627384486623776,1.4627384486623776,0.8812317503220451,0.6552418365243342,0.0,0.0,11.0,11.5,12.5,11.5,11.625,1,12
ui_pop_mismatch,-337.18381277425647,-4251.169463087248,2617.3558291570744,23801.866030495225,-0.2311602695980568,0.2311602695980568,0.8345934268982119,0.7564678985642406,0.0,0.0,18.0,13.0,7.0,11.5,12.375,1,13
i_share_last,0.0006525652445872896,0.00011189168048755493,0.0008781770896775992,0.00010551292989512102,-0.8644814951982175,0.8644814951982175,0.6748165079074211,0.6182350073135057,0.0,0.0,14.0,14.0,14.0,11.5,13.375,1,14
i_share_first,0.0004984431278778525,8.510971542796882e-05,0.000598460425301435,7.343601629374169e-05,-0.9694709326146257,0.9694709326146257,0.6476171933372383,0.6162847391516333,0.0,0.0,13.0,17.0,15.0,11.5,14.125,1,15
i_credit_linear,0.966282085141287,1.5594237883446789,0.5308977881909741,1.1050526567802343,0.684218571712012,0.684218571712012,0.6569425947074434,0.34884576411135726,0.0,0.0,15.0,15.0,17.0,11.5,14.625,0,16
i_credit_first,0.9161384690394929,1.638702460850112,1.0999702617040374,1.4139370577197026,0.5704218199232722,0.5704218199232722,0.6566213676528174,0.22040429887968657,0.0,0.0,16.0,16.0,19.0,11.5,15.625,0,17
i_credit_last,1.1994149195514383,2.1543624161073827,1.614089490827427,2.03154595220066,0.5204841126979004,0.5204841126979004,0.6330804420171532,0.3019444326279427,0.0,0.0,17.0,18.0,18.0,11.5,16.125,0,18
u_span_sec,2449623.011214042,2260878.2807606263,1093314.0907016674,599491.9992614156,-0.21407347186407524,0.21407347186407524,0.6035899986583726,0.4096992027678973,0.0,0.0,19.0,19.0,16.0,11.5,16.375,0,19
e_n_exp,1.000975134080936,1.0027964205816555,0.03121190789523007,0.05280720228894895,0.041989299863895005,0.041989299863895005,0.5009106432503597,0.0018212865007193324,0.0,0.0,20.0,20.5,20.5,11.5,18.125,0,20
e_log1p_exp,0.693542563405492,0.6942810315334021,0.012655339609001542,0.021411477984978396,0.0419892998624738,0.0419892998624738,0.5009106432503597,0.0018212865007193324,0.0,0.0,21.0,20.5,20.5,11.5,18.375,0,21
