item_id,n_W1,n_W2,cmean_l2,mmd2,po_tau2_mean,r_cmean_l2,r_mmd2,r_po_tau2_mean,rank_score,rank,selected
226288,65,170,40.60593399597368,1.7226872777440103,4.3778644238249063e-08,11.0,1.0,95.0,35.666666666666664,1,1
3885368,23,49,16.316666468337445,1.5826408984674076,3.073463533260681e-07,79.0,7.0,24.0,36.666666666666664,2,1
749302,8,60,21.843690210557618,1.4054732009817221,4.3299169988819984e-07,48.0,76.0,17.0,47.0,3,1
53521,9,68,21.735653352122117,1.4753935277099015,1.448640399691269e-07,49.0,46.0,55.0,50.0,4,1
560077,4,120,41.236321656339854,1.342426112829381,1.505393357054605e-07,10.0,96.0,52.0,52.666666666666664,5,1
2189611,5,31,12.805982231474058,1.5224504693474483,2.677087420409969e-07,105.0,29.0,26.0,53.333333333333336,6,1
3757633,18,37,16.020583040976337,1.681222582312157,6.091320742160957e-08,82.0,2.0,83.0,55.666666666666664,7,1
3576787,12,68,20.60016620535621,1.5550712322513023,4.626287288031484e-08,56.0,21.0,93.0,56.666666666666664,8,1
345842,22,11,12.25205700927779,1.535023315494647,1.9584950024669333e-07,113.0,27.0,31.0,57.0,9,1
1510013,6,167,66.43269088428464,1.3910356658992102,4.731183000638118e-08,4.0,80.0,92.0,58.666666666666664,10,1
1971100,9,65,21.450500876051894,1.292675413851841,3.8926012659382866e-05,54.0,121.0,1.0,58.666666666666664,11,1
2535188,14,88,29.231316727524757,1.3582895556321533,9.223114997692406e-08,24.0,93.0,69.0,62.0,12,1
1238603,8,70,27.737382710709067,1.4443314306710757,3.614164199722645e-08,28.0,57.0,102.0,62.333333333333336,13,1
3161041,3,116,39.4947932616064,1.148289595094798,1.902996194430958e-06,12.0,171.0,6.0,63.0,14,1
3975971,4,24,11.815528766852674,1.4476132442056395,3.361937637639278e-07,128.0,55.0,22.0,68.33333333333333,15,1
226325,4,68,26.131754647267368,1.3368607446977432,7.904436820473659e-08,32.0,101.0,73.0,68.66666666666667,16,1
403683,6,61,21.649651838774492,1.1517967438460672,5.754247107332223e-07,50.0,169.0,11.0,76.66666666666667,17,1
139953,8,49,16.65354984078665,1.2624207639618819,3.6941441746613775e-07,77.0,133.0,21.0,77.0,18,1
3037755,3,48,23.29286364995331,1.5035105995305074,7.087134944356792e-10,45.0,35.0,153.0,77.66666666666667,19,1
4420529,10,46,16.269543344020985,1.541221022147377,1.8407260508095977e-09,80.0,25.0,134.0,79.66666666666667,20,1
708155,3,61,20.42728553708582,1.2728716381505167,1.4733404707275187e-07,57.0,129.0,54.0,80.0,21,1
543572,13,4,11.297002010540533,1.6040530589105237,4.319552217142463e-08,139.0,5.0,97.0,80.33333333333333,22,1
2160858,6,11,9.126570200356966,1.5729511801191303,3.0595389221504546e-07,214.0,9.0,25.0,82.66666666666667,23,1
2963495,8,72,23.68351558994344,1.2550339262141708,7.407483932300556e-08,43.0,135.0,76.0,84.66666666666667,24,1
2506320,12,93,29.72435831827535,1.2765915671369858,2.4529931878162854e-08,22.0,127.0,109.0,86.0,25,1
4680184,7,27,10.539948870999998,1.5562998395424112,6.463004324179735e-08,161.0,20.0,79.0,86.66666666666667,26,1
3877201,4,55,19.13624297579906,1.279892687786988,7.918764306896436e-08,62.0,126.0,72.0,86.66666666666667,27,1
1613010,8,50,16.96553249058969,1.3337918345616624,4.900107401108378e-08,73.0,103.0,91.0,89.0,28,1
2370398,12,35,14.778747342427726,1.499007878443435,1.0252122573137475e-09,89.0,37.0,144.0,90.0,29,1
119308,7,150,49.99429297271607,0.9760122252846601,4.366239748225096e-07,6.0,250.0,16.0,90.66666666666667,30,1
2053500,6,76,28.46658151541621,1.0609090919776025,1.7446607940005746e-07,26.0,214.0,32.0,90.66666666666667,31,1
724639,5,27,14.012751971378192,1.2142394430386385,2.125528270940687e-07,95.0,149.0,30.0,91.33333333333333,32,1
3383159,10,28,15.530619898807293,1.485843714927686,9.91356535738133e-10,86.0,41.0,148.0,91.66666666666667,33,1
1843266,13,34,11.149284599141813,1.5419479535203864,1.607988475588714e-08,142.0,24.0,112.0,92.66666666666667,34,1
