feature,cmean_abs,mean_W1,mean_W2,mmd_loco,mmd_full,po_vimp
e_n_exp,0.5103740249218185,0.09403596736743398,0.6044099922892525,-0.03856452414188016,0.43722185262850943,0.0006166866644103799
u_n_events,3.4012818168000902,-0.13283379933129227,3.2684480174687978,-0.012787585401226487,0.43722185262850943,0.04717978908119281
u_n_exp,3.4440366498026442,-0.15340709447289166,3.2906295553297524,-0.046020002371530255,0.43722185262850943,0.15287413087343524
u_n_uniq_items,3.3772864092533665,-0.13490027995742035,3.242386129295946,0.004134906488120538,0.43722185262850943,0.04075997393433208
u_span_sec,0.17959466358465193,-0.02259160419491156,-0.2021862677795635,-0.014261503600323855,0.43722185262850943,0.05119912731868685
u_log1p_n_events,1.888786030653048,-0.09293457886376458,1.7958514517892834,0.024331865235204808,0.43722185262850943,0.057779540606212286
u_log1p_n_uniq,1.8842569058454879,-0.09573753661083122,1.7885193692346566,-0.026748284648272724,0.43722185262850943,0.02793185287089858
i_n_exp,15.252071376173241,1.5794132142861443,16.831484590459386,-0.09485855665724263,0.43722185262850943,0.01209663251613598
i_n_users,14.261138563269808,1.7001703424059245,15.961308905675732,-0.011750703900831105,0.43722185262850943,0.012830374466724099
i_credit_first,2.866628066308206,0.8487513861398254,3.7153794524480315,-0.06280850673958727,0.43722185262850943,0.007571393801529207
i_credit_last,2.0498917274598494,0.999605873553638,3.0494976010134875,0.0027682429403890207,0.43722185262850943,0.00020523521422672464
i_credit_linear,3.997266207490752,1.5907148421008874,5.587981049591639,-0.06354011531934223,0.43722185262850943,0.10846089000099562
i_share_first,0.735672401167025,0.8487513861398253,0.11307898497280018,-0.037859928440631796,0.43722185262850943,0.03355172337174353
i_share_last,0.888192891104872,0.999605873553638,0.11141298244876596,-0.08629025158387427,0.43722185262850943,0.0001348560257080421
i_share_linear,1.4842505677341307,1.5907148421008876,0.10646427436675689,-0.12070077556886649,0.43722185262850943,0.09667774999241284
i_n_covisit_neighbors,16.851776493592794,1.6905769702932745,18.54235346388607,0.026912787508579727,0.43722185262850943,0.06037811650522836
i_log1p_n_exp,3.011710847715453,1.740214668843255,4.751925516558708,-0.06998706434348989,0.43722185262850943,0.017661287534420304
i_log1p_n_users,2.7771563799479386,1.814180001285224,4.5913363812331625,-0.05948433263064845,0.43722185262850943,0.007397166988806433
i_log1p_n_covisit,2.290742010798675,1.6982641291426606,3.9890061399413357,0.019588179439366415,0.43722185262850943,0.06323403761953433
e_log1p_exp,0.4741957190000622,0.09226794720806474,0.5664636662081269,-0.09728012449884138,0.43722185262850943,0.0003676061011417646
ui_pop_mismatch,0.5821506249157042,-1.3014199239704385,-1.8835705488861427,0.054039507562767986,0.43722185262850943,0.20109182851222462
