merchant_id,score,n_leaf,rank,dissolve_how,score_col,selected
580596,0.0007191581265975046,34,1,sum,tau2,1
2210112,0.0005050325357800388,33,2,sum,tau2,1
3177541,0.0004335539990384487,24,3,sum,tau2,1
3013077,0.00040563996098571056,19,4,sum,tau2,1
1238707,0.00039183014862203923,25,5,sum,tau2,1
29280,0.00038735418267127596,14,6,sum,tau2,1
4741916,0.0003871671951327763,20,7,sum,tau2,1
59287,0.0003728775199446636,40,8,sum,tau2,1
2810899,0.0003622731001945025,608,9,sum,tau2,1
1452536,0.0003415450968158799,20,10,sum,tau2,1
1020834,0.0003294604598319311,24,11,sum,tau2,1
4630710,0.00027782522525292107,23,12,sum,tau2,1
1160630,0.00024283079341368515,38,13,sum,tau2,1
2333454,0.00023933783200962952,19,14,sum,tau2,1
2938817,0.00023772045209103043,48,15,sum,tau2,1
3161059,0.00023642746599676276,44,16,sum,tau2,1
3761757,0.0002285240588047579,19,17,sum,tau2,1
2292349,0.00022772721604875272,66,18,sum,tau2,1
345849,0.00022591532083651698,20,19,sum,tau2,1
4737784,0.00021295670596263908,8,20,sum,tau2,1
597124,0.00020831418375670286,41,21,sum,tau2,1
403698,0.00019976793432740695,17,22,sum,tau2,1
2292360,0.00019918771661753395,10,23,sum,tau2,1
4441205,0.00019735574077128939,35,24,sum,tau2,1
2300817,0.0001960132391660497,6,25,sum,tau2,1
2633996,0.0001941792061993545,40,26,sum,tau2,1
41284,0.0001877021824121229,72,27,sum,tau2,1
3971960,0.00018359232942971829,36,28,sum,tau2,1
469386,0.00018112352877171068,29,29,sum,tau2,1
4210635,0.0001718040417226895,38,30,sum,tau2,1
1617208,0.00016890968647047722,7,31,sum,tau2,0
597096,0.00016390063164168682,5,32,sum,tau2,0
2485705,0.0001630505152318625,70,33,sum,tau2,0
3350267,0.0001563643522768799,11,34,sum,tau2,0
2926410,0.00015085907780659384,18,35,sum,tau2,0
3115897,0.00014892309868935896,3,36,sum,tau2,0
12894,0.00014767403378628723,50,37,sum,tau2,0
1575787,0.00014702127918329665,42,38,sum,tau2,0
4663721,0.0001429104282659117,53,39,sum,tau2,0
4066668,0.00013653616331639668,7,40,sum,tau2,0
2724575,0.00013376442070998898,114,41,sum,tau2,0
2514601,0.00013333428210577432,35,42,sum,tau2,0
572389,0.0001326217594896029,47,43,sum,tau2,0
4379422,0.00013239155407599932,56,44,sum,tau2,0
2028785,0.00012847576975948873,36,45,sum,tau2,0
3914248,0.0001270322981184733,18,46,sum,tau2,0
75233,0.00012453016948050293,6,47,sum,tau2,0
89407,0.0001239084208838365,3,48,sum,tau2,0
74083,0.00012219410067147585,79,49,sum,tau2,0
593032,0.00012029537305789599,4,50,sum,tau2,0
