user_id,score,n_leaf,rank,dissolve_how,score_col,selected
70457,4.940038746580688e-07,1,1871,sum,tau2,0
837110,4.933218430799142e-07,7,1872,sum,tau2,0
138138,4.931835412178505e-07,3,1873,sum,tau2,0
443222,4.925601941297447e-07,1,1874,sum,tau2,0
865567,4.919781898069972e-07,2,1875,sum,tau2,0
124467,4.917923054786794e-07,1,1876,sum,tau2,0
312927,4.917535036340861e-07,1,1877,sum,tau2,0
59400,4.916858197827586e-07,2,1878,sum,tau2,0
291544,4.916760455518662e-07,2,1879,sum,tau2,0
933222,4.914992942960021e-07,1,1880,sum,tau2,0
6030,4.905108551185918e-07,1,1881,sum,tau2,0
678470,4.903391457043244e-07,1,1882,sum,tau2,0
384932,4.883593532852869e-07,1,1883,sum,tau2,0
910161,4.882735661178974e-07,1,1884,sum,tau2,0
644220,4.877013591251055e-07,1,1885,sum,tau2,0
905548,4.873102818636629e-07,1,1886,sum,tau2,0
134926,4.869742736377179e-07,3,1887,sum,tau2,0
913552,4.859814059531514e-07,4,1888,sum,tau2,0
652922,4.845756637003872e-07,3,1889,sum,tau2,0
444395,4.842710319013494e-07,1,1890,sum,tau2,0
152426,4.83498195656593e-07,1,1891,sum,tau2,0
933403,4.834377268970109e-07,1,1892,sum,tau2,0
499880,4.834166999047084e-07,1,1893,sum,tau2,0
147438,4.833825244651952e-07,4,1894,sum,tau2,0
996186,4.833047861467221e-07,1,1895,sum,tau2,0
935759,4.832570116692492e-07,2,1896,sum,tau2,0
203230,4.824988793675891e-07,1,1897,sum,tau2,0
610254,4.821263661233427e-07,1,1898,sum,tau2,0
780728,4.820472569124485e-07,1,1899,sum,tau2,0
722103,4.818453831237658e-07,2,1900,sum,tau2,0
698587,4.810135979184971e-07,1,1901,sum,tau2,0
986118,4.809625843046443e-07,1,1902,sum,tau2,0
893459,4.805343045311816e-07,2,1903,sum,tau2,0
383767,4.797234523806711e-07,2,1904,sum,tau2,0
731413,4.797150770233883e-07,1,1905,sum,tau2,0
264799,4.79157458114796e-07,4,1906,sum,tau2,0
364015,4.791505535796563e-07,1,1907,sum,tau2,0
908023,4.782300352860309e-07,1,1908,sum,tau2,0
918493,4.773408078273876e-07,1,1909,sum,tau2,0
543950,4.7585552644286805e-07,1,1910,sum,tau2,0
463947,4.758373752106337e-07,1,1911,sum,tau2,0
688947,4.758373752106337e-07,1,1912,sum,tau2,0
830408,4.7523049476731105e-07,2,1913,sum,tau2,0
556459,4.7424661302915477e-07,2,1914,sum,tau2,0
378163,4.7374891217297825e-07,1,1915,sum,tau2,0
699997,4.736041744622241e-07,1,1916,sum,tau2,0
991927,4.717473429348512e-07,1,1917,sum,tau2,0
724062,4.7093137160764766e-07,2,1918,sum,tau2,0
896122,4.7073300414733013e-07,2,1919,sum,tau2,0
35902,4.692991699758458e-07,3,1920,sum,tau2,0
448847,4.690679084895346e-07,1,1921,sum,tau2,0
249711,4.688798361625032e-07,2,1922,sum,tau2,0
546641,4.6841531299986024e-07,1,1923,sum,tau2,0
494349,4.673910698416906e-07,1,1924,sum,tau2,0
390903,4.673910698416906e-07,1,1925,sum,tau2,0
925468,4.673557694241609e-07,1,1926,sum,tau2,0
82725,4.6722839743688974e-07,2,1927,sum,tau2,0
353563,4.667606648966614e-07,4,1928,sum,tau2,0
501333,4.665450916954826e-07,2,1929,sum,tau2,0
419998,4.663622994860369e-07,1,1930,sum,tau2,0
851628,4.660088844180349e-07,1,1931,sum,tau2,0
913834,4.6576196962267526e-07,1,1932,sum,tau2,0
306992,4.656916308412597e-07,1,1933,sum,tau2,0
534834,4.6565593564009557e-07,3,1934,sum,tau2,0
183175,4.648721511459802e-07,1,1935,sum,tau2,0
943765,4.648721511459802e-07,1,1936,sum,tau2,0
202536,4.648411635774076e-07,1,1937,sum,tau2,0
627830,4.647891490021218e-07,1,1938,sum,tau2,0
738909,4.6441715040373075e-07,1,1939,sum,tau2,0
906863,4.637075044271373e-07,1,1940,sum,tau2,0
47955,4.63683583996155e-07,1,1941,sum,tau2,0
830179,4.630407126697177e-07,1,1942,sum,tau2,0
432775,4.6266203658873095e-07,1,1943,sum,tau2,0
99793,4.6238802029050966e-07,1,1944,sum,tau2,0
316382,4.6227641000855115e-07,1,1945,sum,tau2,0
52760,4.6168969855207613e-07,1,1946,sum,tau2,0
743886,4.6168969855207613e-07,1,1947,sum,tau2,0
367073,4.616860350791265e-07,2,1948,sum,tau2,0
267732,4.616643594412627e-07,1,1949,sum,tau2,0
789206,4.610297949862845e-07,2,1950,sum,tau2,0
662564,4.609992268045111e-07,2,1951,sum,tau2,0
453061,4.608235134739037e-07,1,1952,sum,tau2,0
105876,4.6078895777411825e-07,1,1953,sum,tau2,0
756600,4.6078895777411825e-07,1,1954,sum,tau2,0
632440,4.588872150756578e-07,1,1955,sum,tau2,0
281521,4.584615779714797e-07,1,1956,sum,tau2,0
840642,4.5754847079536624e-07,1,1957,sum,tau2,0
366167,4.5750819937165344e-07,2,1958,sum,tau2,0
601777,4.558918586836278e-07,5,1959,sum,tau2,0
964808,4.5585562105629937e-07,1,1960,sum,tau2,0
143666,4.557497532820615e-07,1,1961,sum,tau2,0
395391,4.5542960508352893e-07,1,1962,sum,tau2,0
34740,4.5532455566102296e-07,1,1963,sum,tau2,0
536193,4.5490757126723256e-07,1,1964,sum,tau2,0
