user_id,score,n_leaf,rank,dissolve_how,score_col,selected
702892,31.651597814898622,1,3074,sum,shift_l2,0
689807,31.647900262502635,1,3075,sum,shift_l2,0
298947,31.64736212830927,1,3076,sum,shift_l2,0
400045,31.647339974360953,1,3077,sum,shift_l2,0
699661,31.645248422844904,1,3078,sum,shift_l2,0
976550,31.628380078281946,1,3079,sum,shift_l2,0
675861,31.623043338715988,1,3080,sum,shift_l2,0
790366,31.621667007222086,1,3081,sum,shift_l2,0
124833,31.621535143970675,1,3082,sum,shift_l2,0
347938,31.619713292162682,1,3083,sum,shift_l2,0
239234,31.612100293443376,2,3084,sum,shift_l2,0
307077,31.607003415452553,3,3085,sum,shift_l2,0
378692,31.604907384075183,1,3086,sum,shift_l2,0
308150,31.603915356866544,1,3087,sum,shift_l2,0
1000794,31.591713499526314,1,3088,sum,shift_l2,0
642465,31.582852929536884,2,3089,sum,shift_l2,0
369649,31.582454629234327,1,3090,sum,shift_l2,0
838111,31.57720042288187,1,3091,sum,shift_l2,0
513466,31.569409113216867,1,3092,sum,shift_l2,0
69057,31.563437254206274,1,3093,sum,shift_l2,0
91680,31.556285645434446,1,3094,sum,shift_l2,0
819711,31.54978829203321,1,3095,sum,shift_l2,0
654720,31.54863363120445,1,3096,sum,shift_l2,0
74233,31.545507511466894,1,3097,sum,shift_l2,0
177921,31.540162701193577,1,3098,sum,shift_l2,0
784556,31.534876373193416,1,3099,sum,shift_l2,0
848776,31.520708720258572,1,3100,sum,shift_l2,0
846958,31.519912811905968,1,3101,sum,shift_l2,0
825492,31.518919855634937,1,3102,sum,shift_l2,0
216355,31.517855080529174,1,3103,sum,shift_l2,0
83973,31.4947565265186,1,3104,sum,shift_l2,0
85340,31.487263739926323,2,3105,sum,shift_l2,0
871970,31.484659955341694,1,3106,sum,shift_l2,0
385122,31.48124232222644,1,3107,sum,shift_l2,0
114011,31.480638901508534,1,3108,sum,shift_l2,0
697670,31.474555396297408,1,3109,sum,shift_l2,0
623572,31.470373329377203,1,3110,sum,shift_l2,0
200907,31.460102329903467,1,3111,sum,shift_l2,0
884591,31.458165230290213,1,3112,sum,shift_l2,0
238520,31.45460577895116,1,3113,sum,shift_l2,0
925468,31.44465788867836,1,3114,sum,shift_l2,0
501333,31.438830237846993,2,3115,sum,shift_l2,0
266405,31.438640663582483,1,3116,sum,shift_l2,0
408067,31.427640573910587,1,3117,sum,shift_l2,0
84017,31.425105101189747,1,3118,sum,shift_l2,0
606700,31.422169374823298,1,3119,sum,shift_l2,0
457017,31.421967597791586,1,3120,sum,shift_l2,0
412370,31.417096095375264,1,3121,sum,shift_l2,0
466310,31.402587570504867,2,3122,sum,shift_l2,0
230392,31.40086532641836,1,3123,sum,shift_l2,0
17294,31.394323176087987,2,3124,sum,shift_l2,0
247822,31.393255445858504,1,3125,sum,shift_l2,0
662201,31.38348434144137,1,3126,sum,shift_l2,0
624308,31.38039851150708,1,3127,sum,shift_l2,0
645382,31.36468162368754,1,3128,sum,shift_l2,0
871972,31.358392577765546,2,3129,sum,shift_l2,0
917043,31.35710237053237,1,3130,sum,shift_l2,0
409162,31.355842650541277,1,3131,sum,shift_l2,0
479486,31.34923353352802,1,3132,sum,shift_l2,0
31686,31.341454289829514,2,3133,sum,shift_l2,0
587163,31.33205224468887,1,3134,sum,shift_l2,0
991926,31.328049817117492,2,3135,sum,shift_l2,0
137853,31.32061924159584,1,3136,sum,shift_l2,0
521317,31.319655085501623,1,3137,sum,shift_l2,0
150940,31.30679206690247,2,3138,sum,shift_l2,0
268771,31.306207376219536,2,3139,sum,shift_l2,0
347644,31.297053154263587,2,3140,sum,shift_l2,0
344155,31.296991197813885,1,3141,sum,shift_l2,0
430964,31.296107032742913,1,3142,sum,shift_l2,0
470816,31.292757130937353,2,3143,sum,shift_l2,0
154769,31.268156179098423,1,3144,sum,shift_l2,0
53312,31.267641555749815,1,3145,sum,shift_l2,0
984718,31.26460139432897,1,3146,sum,shift_l2,0
707795,31.26436350267445,1,3147,sum,shift_l2,0
430441,31.263046220530516,1,3148,sum,shift_l2,0
667302,31.2629421762787,1,3149,sum,shift_l2,0
642934,31.2596386869691,1,3150,sum,shift_l2,0
957987,31.23604348921469,1,3151,sum,shift_l2,0
551106,31.228977586060065,1,3152,sum,shift_l2,0
222295,31.22850218240594,1,3153,sum,shift_l2,0
913535,31.226878917703264,1,3154,sum,shift_l2,0
820887,31.22373254448301,1,3155,sum,shift_l2,0
101402,31.223367128836042,1,3156,sum,shift_l2,0
904552,31.219167487201346,1,3157,sum,shift_l2,0
814426,31.219118568361964,1,3158,sum,shift_l2,0
57163,31.21865572280934,1,3159,sum,shift_l2,0
571582,31.218445063439585,1,3160,sum,shift_l2,0
489406,31.20849295793099,1,3161,sum,shift_l2,0
